# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,    n,       nl,       nr,       base2, factors
  39,   31,   (15 1),    (1 5),       11111, {31}
  39,   63,   (31 1),    (1 6),      111111, {3 7}
  39,  125,   (31 2),   (63 1),     1111101, {5}
  39,  253,   (63 2),  (127 1),    11111101, {11 23}
  39,  501,  (125 2),  (251 1),   111110101, {3 167}
  40,   41,    (5 3),   (21 1),      101001, {41}
  40,   83,   (41 1),   (21 2),     1010011, {83}
  40,  165,   (41 2),   (83 1),    10100101, {3 5 11}
  40,  333,   (83 2),  (167 1),   101001101, {3 37}
  40,  337,   (21 4),  (169 1),   101010001, {337}
  40,  661,  (165 2),  (331 1),  1010010101, {661}
  40,  675,  (337 1),  (169 2),  1010100011, {3 5}
  41,   27,   (13 1),    (7 2),       11011, {3}
  41,   55,   (27 1),    (7 3),      110111, {5 11}
  41,  109,   (27 2),   (55 1),     1101101, {109}
  41,  221,   (55 2),  (111 1),    11011101, {13 17}
  41,  437,  (109 2),  (219 1),   110110101, {19 23}
  41,  449,    (7 6),  (225 1),   111000001, {449}
  41,  881,   (55 4),  (441 1),  1101110001, {881}
  41,  885,  (221 2),  (443 1),  1101110101, {3 5 59}
  41,  899,  (449 1),  (225 2),  1110000011, {29 31}
  41,  903,  (451 1),  (113 3),  1110000111, {3 7 43}
  41,  927,  (463 1),   (29 5),  1110011111, {3 103}
  42,   73,    (9 3),   (37 1),     1001001, {73}
  42,  145,    (9 4),   (73 1),    10010001, {5 29}
  42,  147,   (73 1),   (37 2),    10010011, {3 7}
  42,  291,  (145 1),   (73 2),   100100011, {3 97}
  42,  293,   (73 2),  (147 1),   100100101, {293}
  42,  299,  (149 1),   (75 2),   100101011, {13 23}
  42,  581,  (145 2),  (291 1),  1001000101, {7 83}
  42,  587,  (293 1),  (147 2),  1001001011, {587}
  42,  589,  (147 2),  (295 1),  1001001101, {19 31}
  42,  599,  (299 1),   (75 3),  1001010111, {599}
  43,   97,    (3 5),   (49 1),     1100001, {97}
  43,  193,    (3 6),   (97 1),    11000001, {193}
  43,  195,   (97 1),   (49 2),    11000011, {3 5 13}
  43,  199,   (99 1),   (25 3),    11000111, {199}
  43,  387,  (193 1),   (97 2),   110000011, {3 43}
  43,  389,   (97 2),  (195 1),   110000101, {389}
  43,  391,  (195 1),   (49 3),   110000111, {17 23}
  43,  399,  (199 1),   (25 4),   110001111, {3 7 19}
  43,  773,  (193 2),  (387 1),  1100000101, {773}
  43,  781,  (195 2),  (391 1),  1100001101, {11 71}
  43,  783,  (391 1),   (49 4),  1100001111, {3 29}
  43,  785,   (49 4),  (393 1),  1100010001, {5 157}
  43,  797,  (199 2),  (399 1),  1100011101, {797}
  44,  129,    (1 7),   (65 1),    10000001, {3 43}
