# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29
oc(3603-1),1,1801,1,1,2,8,7,16,15,7,3
oc(3603+1),2,901,1,1,5,10,4,0,8,4,2
oc(3617-1),5,113,2,3,1,3,9,11,18,21,26
oc(3617+1),1,1809,0,4,3,5,2,7,4,15,11
oc(3639-1),1,1819,1,4,6,4,12,0,14,2,21
oc(3639+1),3,455,2,0,0,4,0,13,18,18,20
oc(3643-1),1,1821,0,1,1,6,1,2,16,4,23
oc(3643+1),2,911,2,1,1,9,1,10,18,14,12
oc(3647-1),1,1823,2,3,3,8,3,4,18,6,25
oc(3647+1),6,57,0,2,1,2,5,6,0,11,28
oc(3673-1),3,459,0,4,4,8,4,0,3,22,24
oc(3673+1),1,1837,1,2,3,0,4,1,13,20,10
oc(3679-1),1,1839,0,4,5,2,6,3,15,22,12
oc(3679+1),5,115,1,0,3,5,11,13,1,0,28
oc(3705-1),3,463,1,3,1,1,8,4,7,3,28
oc(3705+1),1,1853,2,3,5,5,7,0,10,13,26
oc(3745-1),5,117,0,2,5,7,0,15,3,2,1
oc(3745+1),1,1873,1,3,4,3,1,3,11,10,17
oc(3753-1),3,469,1,4,0,7,1,10,13,9,5
oc(3753+1),1,1877,2,2,1,7,5,7,15,14,21

# dist 57:
oc(1351-1),1,675,0,0,3,4,12,12,10,8,8
oc(1351+1),3,169,1,4,1,4,0,16,17,8,24
oc(1377-1),5,43,1,3,1,10,4,9,5,20,14
oc(1377+1),1,689,2,4,3,7,0,9,5,22,22
oc(2697-1),3,337,1,2,1,7,12,14,14,15,18
oc(2697+1),1,1349,2,4,5,7,10,6,0,15,15
oc(2703-1),1,1351,1,1,0,9,12,8,2,17,17
oc(2703+1),4,169,1,4,1,4,0,16,17,8,24
oc(2713-1),3,339,0,4,3,9,1,16,16,17,20
oc(2713+1),1,1357,1,2,6,4,5,14,8,0,23
oc(2729-1),3,341,2,1,5,0,3,1,18,19,22
oc(2729+1),1,1365,0,0,0,1,0,5,16,8,2
oc(2735-1),1,1367,2,2,2,3,2,7,18,10,4
oc(2735+1),4,171,0,1,3,6,2,1,0,10,26
oc(2755-1),1,1377,0,2,5,2,12,0,9,20,14
oc(2755+1),2,689,2,4,3,7,0,9,5,22,22
oc(2759-1),1,1379,2,4,0,4,1,2,11,22,16
oc(2759+1),3,345,0,0,2,4,7,5,3,0,26
oc(2779-1),1,1389,0,4,3,3,11,12,2,9,26
oc(2779+1),2,695,2,0,2,2,6,15,11,5,28
oc(2809-1),3,351,0,1,1,10,0,11,9,6,3
oc(2809+1),1,1405,1,0,5,8,1,11,18,2,13
oc(2815-1),1,1407,0,2,0,10,3,13,1,4,15
oc(2815+1),8,11,2,1,4,0,11,11,11,11,11

# dist 56:
oc(1017-1),3,127,1,2,1,6,10,8,13,12,11
oc(1017+1),1,509,2,4,5,3,2,16,15,3,16
oc(1033-1),3,129,0,4,3,8,12,10,15,14,13
oc(1033+1),1,517,1,2,6,0,10,7,4,11,24
oc(2023-1),1,1011,0,1,3,10,10,8,4,22,25
oc(2023+1),3,253,1,3,1,0,6,15,6,0,21
oc(2025-1),3,253,1,3,1,0,6,15,6,0,21
oc(2025+1),1,1013,2,3,5,1,12,10,6,1,27
oc(2027-1),1,1013,2,3,5,1,12,10,6,1,27
oc(2027+1),2,507,0,2,3,1,0,14,13,1,14
oc(2035-1),1,1017,0,2,2,5,3,14,10,5,2
oc(2035+1),2,509,2,4,5,3,2,16,15,3,16
oc(2043-1),1,1021,1,1,6,9,7,1,14,9,6
oc(2043+1),2,511,1,1,0,5,4,1,17,5,18
oc(2047-1),1,1023,0,3,1,0,9,3,16,11,8
oc(2047+1),11,1,1,1,1,1,1,1,1,1,1
oc(2049-1),11,1,1,1,1,1,1,1,1,1,1
oc(2049+1),1,1025,2,0,3,2,11,5,18,13,10
oc(2067-1),1,1033,1,3,4,10,6,13,7,21,18
oc(2067+1),2,517,1,2,6,0,10,7,4,11,24
oc(2107-1),1,1053,0,3,3,8,0,16,8,18,9
oc(2107+1),2,527,2,2,2,10,7,0,14,21,5
oc(4009-1),3,501,0,1,4,6,7,8,7,18,8
oc(4009+1),1,2005,1,0,3,3,3,16,10,4,4
oc(4047-1),1,2023,1,3,0,10,8,0,9,22,22
oc(4047+1),4,253,1,3,1,0,6,15,6,0,21
oc(4051-1),1,2025,0,0,2,1,10,2,11,1,24
oc(4051+1),2,1013,2,3,5,1,12,10,6,1,27
oc(4055-1),1,2027,2,2,4,3,12,4,13,3,26
oc(4055+1),3,507,0,2,3,1,0,14,13,1,14
oc(4069-1),2,1017,0,2,2,5,3,14,10,5,2
oc(4069+1),1,2035,1,0,5,0,7,12,2,11,5
oc(4071-1),1,2035,1,0,5,0,7,12,2,11,5
oc(4071+1),3,509,2,4,5,3,2,16,15,3,16
oc(4075-1),1,2037,0,2,0,2,9,14,4,13,7
oc(4075+1),2,1019,2,4,4,7,5,16,12,7,4
oc(4087-1),1,2043,0,3,6,8,2,3,10,19,13
oc(4087+1),3,511,1,1,0,5,4,1,17,5,18
oc(4095-1),1,2047,1,2,3,1,6,7,14,0,17
oc(4095+1),12,1,1,1,1,1,1,1,1,1,1
oc(4099-1),1,2049,0,4,5,3,8,9,16,2,19
oc(4099+1),2,1025,2,0,3,2,11,5,18,13,10
oc(4103-1),1,2051,2,1,0,5,10,11,18,4,21
oc(4103+1),3,513,0,3,2,7,6,3,0,7,20
oc(4105-1),3,513,0,3,2,7,6,3,0,7,20
oc(4105+1),1,2053,1,3,2,7,12,13,1,6,23
oc(4133-1),2,1033,1,3,4,10,6,13,7,21,18
oc(4133+1),1,2067,0,2,2,10,0,10,15,20,8
oc(4139-1),1,2069,2,4,4,1,2,12,17,22,10
oc(4139+1),2,1035,0,0,6,1,8,15,9,0,20
oc(4169-1),3,521,2,1,3,4,1,11,8,15,28
oc(4169+1),1,2085,0,0,6,6,5,11,14,15,26
oc(4215-1),1,2107,1,2,0,6,1,16,17,14,19
oc(4215+1),3,527,2,2,2,10,7,0,14,21,5
oc(4219-1),1,2109,0,4,2,8,3,1,0,16,21
oc(4219+1),2,1055,2,0,5,10,2,1,10,20,11
oc(4223-1),1,2111,2,1,4,10,5,3,2,18,23
oc(4223+1),7,33,0,3,5,0,7,16,14,10,4

# dist 55:
oc(763-1),1,381,0,1,3,7,4,7,1,13,4
oc(763+1),2,191,2,1,2,4,9,4,1,7,17
oc(775-1),1,387,0,2,2,2,10,13,7,19,10
oc(775+1),3,97,1,2,6,9,6,12,2,5,10
oc(1519-1),1,759,0,4,3,0,5,11,18,0,5
oc(1519+1),4,95,2,0,4,7,4,10,0,3,8
oc(1527-1),1,763,1,3,0,4,9,15,3,4,9
oc(1527+1),3,191,2,1,2,4,9,4,1,7,17
