# Odd core "extended family" distance groups

The numbers here are grouped by their odd-to-odd Collatz stopping distance.
Every n is represented by a group of 7 lines that forms a small tree.
The "children" of n are defined as the 2-adic odd cores of the even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this small hierarchy is shown.
When reading the tables, n is the center row in each group of seven lines.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71

# Distance 65:

47,4,38,1202,101111,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47 # oc(751+1)
3,4,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(oc(751+1)+1)


# Distance 49:

135,1,13,12000,10000111,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64 # oc(oc(543-1)-1)
271,1,13,101001,100001111,1,1,5,7,11,16,5,18,10,23,12,25,13,36,6,35,27,3,58 # oc(543-1)
17,4,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(oc(543-1)+1)
543,0,49,202010,1000011111,0,3,4,4,10,16,11,14,21,16,25,10,27,26,13,12,55,7,46 # 543 -> 815
1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(oc(543+1)-1)
17,5,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(543+1)
9,1,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(oc(543+1)+1)

17,2,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(oc(553-1)-1)
69,3,3,2120,1000101,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69 # oc(553-1)
35,1,3,1022,100011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35 # oc(oc(553-1)+1)
553,0,49,202111,1000101001,1,3,0,3,7,9,2,1,2,26,35,20,37,36,23,22,4,17,56 # 553 -> 415
69,2,3,2120,1000101,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69 # oc(oc(553+1)-1)
277,1,3,101021,100010101,1,2,4,2,4,5,11,1,16,29,18,31,19,42,12,41,33,9,64 # oc(553+1)
139,1,13,12011,10001011,1,4,6,7,9,3,6,1,23,15,28,16,10,45,33,21,17,5,68 # oc(oc(553+1)+1)


# Distance 48:

51,2,7,1220,110011,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51 # oc(oc(411-1)-1)
205,1,7,21121,11001101,1,0,2,7,10,1,15,21,2,19,20,0,33,17,46,28,22,4,63 # oc(411-1)
103,1,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32 # oc(oc(411-1)+1)
411,0,48,120020,110011011,0,1,5,4,8,3,12,20,5,8,4,1,24,35,40,57,45,9,56 # 411 -> 617
51,1,7,1220,110011,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51 # oc(oc(411+1)-1)
103,2,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32 # oc(411+1)
