n,k,oc,m3,m5,m7,m11,m13,m17
598,1,299,2,4,5,2,0,10
599,0,599,2,4,4,5,1,4
600,3,75,0,0,5,9,10,7
601,0,601,1,1,6,7,3,6
602,1,301,1,1,0,4,2,12
603,0,603,0,3,1,9,5,8
604,2,151,1,1,4,8,8,15
605,0,605,2,0,3,0,7,10
606,1,303,0,3,2,6,4,14
607,0,607,1,2,5,2,9,12
608,5,19,1,4,5,8,6,2
609,0,609,0,4,0,4,11,14
610,1,305,2,0,4,8,6,16
611,0,611,2,1,2,6,0,16
612,2,153,0,3,6,10,10,0
613,0,613,1,3,4,8,2,1
614,1,307,1,2,6,10,8,1
615,0,615,0,0,6,10,4,3
616,3,77,2,2,0,0,12,9
617,0,617,2,2,1,1,6,5
618,1,309,0,4,1,1,10,3
619,0,619,1,4,3,3,8,7
620,2,155,2,0,1,1,12,2
621,0,621,0,1,5,5,10,9
622,1,311,2,1,3,3,12,5
623,0,623,2,3,0,7,12,11
624,4,39,0,4,4,6,0,5
625,0,625,1,0,2,9,1,13
626,1,313,1,3,5,5,1,7
627,0,627,0,2,4,0,3,15
628,2,157,1,2,3,3,1,4
629,0,629,2,4,6,2,5,0
630,1,315,0,0,0,7,3,9
631,0,631,1,1,1,4,7,2
632,3,79,1,4,2,2,1,11
633,0,633,0,3,3,6,9,4
634,1,317,2,2,2,9,5,11
635,0,635,2,0,5,8,11,6
636,2,159,0,4,5,5,3,6
637,0,637,1,2,0,10,0,8
638,1,319,1,4,4,0,7,13
639,0,639,0,4,2,1,2,10
640,7,5,2,0,5,5,5,5
641,0,641,2,1,4,3,4,12
642,1,321,0,1,6,2,9,15
643,0,643,1,3,6,5,6,14
644,2,161,2,1,0,7,5,8
645,0,645,0,0,1,7,8,16
646,1,323,2,3,1,4,11,0
647,0,647,2,2,3,9,10,1
648,3,81,0,1,4,4,3,13
649,0,649,1,4,5,0,12,3
650,1,325,1,0,3,6,0,2
651,0,651,0,1,0,2,1,5
652,2,163,1,3,2,9,7,10
653,0,653,2,3,2,4,3,7
654,1,327,0,2,5,8,2,4
655,0,655,1,0,4,6,5,9
656,4,41,2,1,6,8,2,7
657,0,657,0,2,6,8,7,11
658,1,329,2,4,0,10,4,6
659,0,659,2,4,1,10,9,13
660,2,165,0,0,4,0,9,12
661,0,661,1,1,3,1,11,15
662,1,331,1,1,2,1,6,8
663,0,663,0,3,5,3,0,0
664,3,83,2,3,6,6,5,15
665,0,665,2,0,0,5,2,2
666,1,333,0,3,4,3,8,10
667,0,667,1,2,2,7,4,4
668,2,167,2,2,6,2,11,14
669,0,669,0,4,4,9,6,6
670,1,335,2,0,6,5,10,12
671,0,671,2,1,6,0,8,8
672,5,21,0,1,0,10,8,4
673,0,673,1,3,1,2,10,10
674,1,337,1,2,1,7,12,14
675,0,675,0,0,3,4,12,12
676,2,169,1,4,1,4,0,16
677,0,677,2,2,5,6,1,14
678,1,339,0,4,3,9,1,16
679,0,679,1,4,0,8,3,16
680,3,85,1,0,1,8,7,0
681,0,681,0,1,2,10,5,1
682,1,341,2,1,5,0,3,1
683,0,683,2,3,4,1,7,3
684,2,171,0,1,3,6,2,1
685,0,685,1,0,6,3,9,5
