# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

factorzig,          primeness
   2²⋅13⋅19,        
  23⋅43,            radical
 2⋅3²⋅5⋅11,         
991,                prime
 2⁵⋅31,             
  3⋅331,            radical
   2⋅7⋅71,          radical
  5⋅199,            radical
 2²⋅3⋅83,           
997,                prime
 2⋅499,             radical
  3³⋅37,            
   2³⋅5³,           radical power
