# `dist`      the number of odd-to-odd Collatz for n steps to reach 1
# `n`         a positive odd integer
# `factors`   the prime factors of n
# `ocldist`   the Collatz odd-to-odd distance of the odd core of n-1
# `nl`        the odd core valuation of the even number n-1 to the left of odd n
# `ofactorsl` the odd prime factors of n-1
# `ocrdist`   the Collatz odd-to-odd distance of the odd core of n+1
# `nr`        the odd core valuation of the even number n+1 to the right of odd n
# `ofactorsr` the odd prime factors of n+1
# `tcn`       the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
# `base2`     the binary representation of n
# `base3`     the ternary representation of n
# `base5`     the base-5 representation of n
# `base7`     the base-7 representation of n
# `m*`        the prime residues of n modulo a set of primes
# `pre_total` the total number of preimages of n under the odd-to-odd Collatz map

dist,     n, factors,       ocldist,        nl, ofactorsl,    ocrdist,        nr, ofactorsr,      tcn,           base2,      base3,   base5,  base7, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, pre_total
  16,   657, {3 73},             40,    (41 4), {41},              16,   (329 1), {7 47},          73,      1010010001,     220100,   10112,   1626, 0,  2,  6,  8,   7,   11,  11,  13,  19,  6,   28,  1,           0
   6,   663, {3 13 17},           6,   (331 1), {331},             40,    (83 3), {83},           221,      1010010111,     220120,   10123,   1635, 0,  3,  5,  3,   0,   0,   17,  19,  25,  12,  34,  7,           0
  23,   669, {3 223},            23,   (167 2), {167},             23,   (335 1), {5 67},         223,      1010011101,     220210,   10134,   1644, 0,  4,  4,  9,   6,   6,   4,   2,   2,   18,  3,   13,          0
  40,   675, {3 5},              40,   (337 1), {337},             16,   (169 2), {13},            25,      1010100011,     221000,   10200,   1653, 0,  0,  3,  4,   12,  12,  10,  8,   8,   24,  9,   19,          0
  21,   681, {3 227},             1,    (85 3), {5 17},             1,   (341 1), {11 31},        227,      1010101001,     221020,   10211,   1662, 0,  1,  2,  10,  5,   1,   16,  14,  14,  30,  15,  25,          0
  11,   687, {3 229},            45,   (343 1), {7},                9,    (43 4), {43},           229,      1010101111,     221110,   10222,   2001, 0,  2,  1,  5,   11,  7,   3,   20,  20,  5,   21,  31,          0
   9,   693, {3 7 11},            9,   (173 2), {173},             45,   (347 1), {347},           77,      1010110101,     221200,   10233,   2010, 0,  3,  0,  0,   4,   13,  9,   3,   26,  11,  27,  37,          0
  21,   699, {3 233},             9,   (349 1), {349},             28,   (175 2), {5 7},          233,      1010111011,     221220,   10244,   2016, 0,  4,  6,  6,   10,  2,   15,  9,   3,   17,  33,  2,           0
   9,   705, {3 5 47},            4,    (11 6), {11},              45,   (353 1), {353},          235,      1011000001,     222010,   10310,   2025, 0,  0,  5,  1,   3,   8,   2,   15,  9,   23,  2,   8,           0
  21,   711, {3 79},              9,   (355 1), {5 71},             9,    (89 3), {89},            79,      1011000111,     222100,   10321,   2034, 0,  1,  4,  7,   9,   14,  8,   21,  15,  29,  8,   14,          0
