# Natural order of prime factor sets

This is a list of the first 1000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents a prime (3, 5, 7, etc)

The pattern of prime factors in integers is a cycle modulo the product of primes as you increment n. Call this the "natural" permutation, the one you get by simply adding 1. This transform is the only thing +1 knows how to do.

(The factor sets of the odd cores are shown for the even numbers below, but note that since they only differ by a power of 2, their odd prime factor mask is unchanged).

Successive numbers share no factors, which amounts to an information-preserving mechanism. The +1 operation is an invertible permutation over all prime factor rings of integers at once, which is a very complicated mapping, but it's also a cycle modulo the product of any subset of those rings, which makes things simple again if you don't care about the specific *order* of the permutation.

And we don't.

oc,k,dist,base3,base2,factors
465,0,10,122020,111010001,1100000001
233,1,29,22122,11101001,00000000000000000000000000000000000000000000000001
467,0,29,122022,111010011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
117,2,5,11100,1110101,10001
469,0,5,122101,111010101,001000000000000001
235,1,46,22201,11101011,01000000000001
471,0,46,122110,111010111,100000000000000000000000000000000001
59,3,10,2012,111011,0000000000000001
473,0,10,122112,111011001,0001000000001
237,1,10,22210,11101101,100000000000000000001
475,0,7,122121,111011011,0100001
119,2,10,11102,1110111,001001
477,0,10,122200,111011101,100000000000001
239,1,17,22212,11101111,000000000000000000000000000000000000000000000000001
479,0,17,122202,111011111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
15,5,5,120,1111,11
481,0,15,122211,111100001,00001000001
241,1,5,22221,11110001,0000000000000000000000000000000000000000000000000001
483,0,5,122220,111100011,10100001
121,2,34,11111,1111001,0001
485,0,34,122222,111100101,010000000000000000000001
243,1,34,100000,11110011,1
487,0,51,200001,111100111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
61,3,5,2021,111101,00000000000000001
489,0,15,200010,111101001,1000000000000000000000000000000000001
245,1,5,100002,11110101,011
491,0,51,200012,111101011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
123,2,15,11120,1111011,100000000001
493,0,15,200021,111101101,000001001
247,1,15,100011,11110111,0000101
495,0,34,200100,111101111,1101
31,4,39,1011,11111,0000000001
497,0,5,200102,111110001,0010000000000000001
249,1,15,100020,11111001,1000000000000000000001
499,0,15,200111,111110011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
125,2,39,11122,1111101,01
501,0,39,200120,111110101,10000000000000000000000000000000000001
251,1,22,100022,11111011,00000000000000000000000000000000000000000000000000001
503,0,22,200122,111110111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
63,3,39,2100,111111,101
505,0,20,200201,111111001,0100000000000000000000001
253,1,39,100101,11111101,00010001
507,0,10,200210,111111011,10001
127,2,15,11201,1111111,000000000000000000000000000001
509,0,15,200212,111111101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
255,1,15,100110,11111111,110001
511,0,20,200221,111111111,00100000000000000001
1,9,0,1,1,0
513,0,10,201000,1000000001,1000001
257,1,44,100112,100000001,000000000000000000000000000000000000000000000000000001
515,0,44,201002,1000000011,01000000000000000000000001
129,2,44,11210,10000001,1000000000001
517,0,44,201011,1000000101,00010000000001
259,1,44,100121,100000011,00100000001
519,0,20,201020,1000000111,100000000000000000000000000000000000001
65,3,8,2102,1000001,01001
521,0,44,201022,1000001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
261,1,8,100200,100000101,100000001
523,0,44,201101,1000001011,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
131,2,8,11212,10000011,0000000000000000000000000000001
525,0,8,201110,1000001101,111
263,1,27,100202,100000111,0000000000000000000000000000000000000000000000000000001
527,0,27,201112,1000001111,0000010001
33,4,8,1020,100001,1001
529,0,8,201121,1000010001,00000001
265,1,44,100211,100001001,010000000000001
531,0,44,201200,1000010011,1000000000000001
133,2,8,11221,10000101,0010001
533,0,8,201202,1000010101,000010000001
267,1,5,100220,100001011,10000000000000000000001
535,0,5,201211,1000010111,010000000000000000000000001
67,3,8,2111,1000011,000000000000000001
537,0,5,201220,1000011001,1000000000000000000000000000000000000001
269,1,8,100222,100001101,00000000000000000000000000000000000000000000000000000001
539,0,15,201222,1000011011,0011
135,2,13,12000,10000111,11
541,0,13,202001,1000011101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
271,1,13,101001,100001111,000000000000000000000000000000000000000000000000000000001
543,0,49,202010,1000011111,10000000000000000000000000000000000000001
17,5,3,122,10001,000001
545,0,13,202012,1000100001,0100000000000000000000000001
273,1,8,101010,100010001,10101
547,0,8,202021,1000100011,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
137,2,32,12002,10001001,00000000000000000000000000000001
549,0,32,202100,1000100101,10000000000000001
275,1,32,101012,100010011,0101
551,0,13,202102,1000100111,000000101
69,3,3,2120,1000101,10000001
553,0,49,202111,1000101001,001000000000000000001
277,1,3,101021,100010101,0000000000000000000000000000000000000000000000000000000001
555,0,8,202120,1000101011,11000000001
139,2,13,12011,10001011,000000000000000000000000000000001
557,0,13,202122,1000101101,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
279,1,13,101100,100010111,1000000001
559,0,30,202201,1000101111,0000100000001
35,4,3,1022,100011,011
561,0,13,202210,1000110001,100101
281,1,13,101102,100011001,00000000000000000000000000000000000000000000000000000000001
563,0,13,202212,1000110011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
141,2,3,12020,10001101,10000000000001
565,0,3,202221,1000110101,01000000000000000000000000001
283,1,20,101111,100011011,000000000000000000000000000000000000000000000000000000000001
567,0,20,210000,1000110111,101
71,3,37,2122,1000111,0000000000000000001
