# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,          psym
 2⋅229,             [9 99]
  3³⋅17,            [2 20 28 40 50 62]
 2²⋅5⋅23,           [3 27 39 63 81 87]
461,                [18 30 42 60]
 2⋅3⋅7⋅11,          [1 5 29 41 61 79 95]
463,                [24 84]
 2⁴⋅29,             [3 15 45]
  3⋅5⋅31,           [2 22 26 34 44 56 76 82]
 2⋅233,             [33 57]
467,                [24 36]
 2²⋅3²⋅13,          [11 19 35 79 89 95]
  7⋅67,             [30 72]
   2⋅5⋅47,          [9 21 39 51 87]
    3⋅157,          [8 28 32 38 50 52 70 92]
     2³⋅59,         [15 51 75 99]
      11⋅43,        [6 30 84 90]
     2⋅3⋅79,        [13 17 25 35 73 95]
    5²⋅19,          [12 66 96]
   2²⋅7⋅17,         [15 27 33 45 87 93]
  3²⋅53,            [10 14 44 46 80 94]
 2⋅239,             [21 45 69 99]
479,                [12 30 78 90]
 2⁵⋅3⋅5,            [19 23 41 61 83 91 97]
  13⋅37,            [18 42 60]
   2⋅241,           [21 39 81]
    3⋅7⋅23,         [4 16 20 26 40 64 74 86]
   2²⋅11²,          [63 87]
  5⋅97,             [6 18 24 36 84]
 2⋅3⁵,              [23 37 55 77 85]
487,                [54 90]
 2³⋅61,             [21 69 99]
  3⋅163,            [2 10 32 58 68 80 88]
 2⋅5⋅7²,            [33 51 57 81]
491,                [12 30 72]
 2²⋅3⋅41,           [29 31 49 71 95]
  17⋅29,            [6 30 54 84]
   2⋅13⋅19,         [15 27 63 75 93]
    3²⋅5⋅11,        [4 8 28 46 52 62 74 76]
   2⁴⋅31,           [75]
  7⋅71,             [6 66 96]
 2⋅3⋅83,            [11 49 59 65 79 89]
499,                [42 78]
 2²⋅5³,             [9 21 57 69 99]
  3⋅167,            [2 22 40 62 68 70 92 100]
 2⋅251,             [39 45 69]
503,                [54 60 84]
 2³⋅3²⋅7,           [5 17 37 43 65 73 83 95]
  5⋅101,            [18 42 66 72 96]
   2⋅11⋅23,         [3 15 57 63 87]
  3⋅13²,            [16 40 50 64 86]
 2²⋅127,            [69 99]
509,                [48 60 78 90]
 2⋅3⋅5⋅17,          [11 31 47 53 61 67 77 89]
  7⋅73,             [12 90]
   2⁹,              [9 45 51 81]
    3³⋅19,          [10 34 50 56 64 74 80 94]
     2⋅257,         [27 57 93]
      5⋅103,        [6 48 54 72 84]
     2²⋅3⋅43,       [7 25 53 55 77 83 85 97]
    11⋅47,          [30 54 60 84 96]
   2⋅7⋅37,          [39 51 69 75 99]
  3⋅173,            [28 52 58 80 88 98 100]
 2³⋅5⋅13,           [21 57 81 87 99]
521,                [42 72 78]
 2⋅3²⋅29,           [1 19 35 55 65 79 91]
523,                [24 84 90]
 2²⋅131,            [33 45 63 75 93]
  3⋅5²⋅7,           [16 22 38 46 62 68 76 82]
   2⋅263,           [87 93]
    17⋅31,          [36 60 66]
     2⁴⋅3⋅11,       [19 29 41 49 65 71 79 85]
      23²,          [42 72 90]
       2⋅5⋅53,      [27 39 63 69 87]
        3²⋅59,      [10 32 40 68 70 82 88 100]
         2²⋅7⋅19,   [9 45 69 75 99]
        13⋅41,      [24 30 54 66 84]
       2⋅3⋅89,      [13 35 43 67 73 85]
      5⋅107,        [12 36 72 78 96]
     2³⋅67,         [27 33 57]
    3⋅179,          [34 50 70 76 80 94]
   2⋅269,           [39 75 81]
  7²⋅11,            [18 30 48 60 78]
 2²⋅3³⋅5,           [17 31 37 53 61 73 77 79]
541,                [78]
 2⋅271,             [21 51 75 99]
  3⋅181,            [20 34 44 56 64 76 100]
   2⁵⋅17,           [3 57 87]
  5⋅109,            [24 42 54 96]
 2⋅3⋅7⋅13,          [23 25 47 55 67 85 97]
547,                [24 60 84]
 2²⋅137,            [39 45 69 99]
  3²⋅61,            [8 28 50 58 70 82 92]
   2⋅5²⋅11,         [27 51 63 93]
    19⋅29,          [42 48 90]
     2³⋅3⋅23,       [5 11 49 61 65 89 91 95]
    7⋅79,           [54 66 90]
   2⋅277,           [33 45 63 87 93]
  3⋅5⋅37,           [8 14 32 46 52 64 76 88]
 2²⋅139,            [15 57]
557,                [36 90 96]
 2⋅3²⋅31,           [11 35 49 55 59 95]
  13⋅43,            [12 18 60 72]
   2⁴⋅5⋅7,          [3 39 57 81 93 99]
  3⋅11⋅17,          [38 40 52 58 70 82 98 100]
 2⋅281,             [15 39 99]
563,                [6 54 84 96]
 2²⋅3⋅47,           [7 23 43 55 77 97]
  5⋅113,            [42 66 78]
   2⋅283,           [3 75 87]
  3⁴⋅7,             [4 10 20 26 46 64 76 80]
 2³⋅71,             [45]
569,                [48 78 90]
 2⋅3⋅5⋅19,          [1 7 23 29 47 49 61 71]
571,                [30 48 72]
 2²⋅11⋅13,          [15 69 81]
  3⋅191,            [4 26 70 74 86]
   2⋅7⋅41,          [3 27 33 87]
  5²⋅23,            [12 18 66 72 84]
 2⁶⋅3²,             [55 67 77 85 97]
577,                [30 36 54]
 2⋅17²,             [9 15 21 69 75 99]
  3⋅193,            [8 22 38 80]
   2²⋅5⋅29,         [33 39 81 93]
    7⋅83,           [12 18 60 72 78]
     2⋅3⋅97,        [5 11 19 25 35 59 61 79]
    11⋅53,          [36 60]
   2³⋅73,           [15 63 75 93]
  3²⋅5⋅13,          [8 14 16 22 28 62 76 98]
 2⋅293,             [15 45 87]
587,                [30 66 96]
 2²⋅3⋅7²,           [11 19 25 31 65 85 89]
  19⋅31,            [12 18 42]
   2⋅5⋅59,          [3 27 69 87]
  3⋅197,            [22 28 50 68 70 82 92 100]
 2⁴⋅37,             [15 21 51 69]
593,                [6 24 84 90]
 2⋅3³⋅11,           [7 23 25 37 47 53]
  5⋅7⋅17,           [18 24 48 96]
   2²⋅149,          [3 87]
  3⋅199,            [4 10 20 34 50 56 76 94]
 2⋅13⋅23,           [21 75]
599,                [42 78]
 2³⋅3⋅5²,           [1 7 13 31 43 53 59 77]
601,                [30 60]
 2⋅7⋅43,            [15 39 45 81 99]
  3²⋅67,            [4 10 16 40 56 80]
   2²⋅151,          [3 27 57]
  5⋅11²,            [12 36 42 48 96]
 2⋅3⋅101,           [7 13 35 37 85]
607,                [6 36 66 84]
 2⁵⋅19,             [9 39 45 51]
  3⋅7⋅29,           [8 10 22 32 38 52 68 100]
   2⋅5⋅61,          [3 9 33 63]
  13⋅47,            [42 48 90]
 2²⋅3²⋅17,          [5 19 35 41 49 65 71 89]
613,                [6]
 2⋅307,             [27 45]
  3⋅5⋅41,           [2 16 28 38 44 46 58 68]
 2³⋅7⋅11,           [3 15 45 75 93]
617,                [24 30 60]
 2⋅3⋅103,           [1 25 41 55]
619,                [12 42 72]
 2²⋅5⋅31,           [21 27 33 57 63 99]
  3³⋅23,            [20 22 52 80 98]
   2⋅311,           [9 21 51]
    7⋅89,           [24 30 36 54 60]
     2⁴⋅3⋅13,       [7 17 23 37 53 67 77]
      5⁴,           [6 18 48 84]
     2⋅313,         [27 33 57]
    3⋅11⋅19,        [14 20 26 34 50 56 64]
   2²⋅157,          [15 81]
  17⋅37,            [12 30 72]
 2⋅3²⋅5⋅7,          [11 13 17 23 29 31 43 53]
631,                [12 30 60]
 2³⋅79,             [15 45 69]
  3⋅211,            [14 20 26 40 76 86]
   2⋅317,           [27 57 93]
    5⋅127,          [18 42 48 66]
     2²⋅3⋅53,       [5 17 23 37 65 73]
    7²⋅13,          [6 24 36 90 96]
   2⋅11⋅29,         [21 39 45 81]
  3²⋅71,            [8 20 22 38 52 62 70]
 2⁷⋅5,              [21 33 69 93 99]
641,                [42 78]
 2⋅3⋅107,           [1 11 35 41 49 85]
643,                [30 66 96]
 2²⋅7⋅23,           [3 57 75]
  3⋅5⋅43,           [2 14 28 32 38 46 74 82]
 2⋅17⋅19,           [15 27 45]
647,                [6 30 54]
 2³⋅3⁴,             [5 29 35 61 71 79 85 91]
