# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `m*`            the prime residues of n modulo a set of primes
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

    n, factorization, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, primeness
  655, 5 131,         1,  0,  4,  6,   5,   9,   9,   11,  17,  4,   radical
  656, 2⁴ 41,         2,  1,  5,  7,   6,   10,  10,  12,  18,  5,   
  657, 3² 73,         0,  2,  6,  8,   7,   11,  11,  13,  19,  6,   
  658, 2 7 47,        1,  3,  0,  9,   8,   12,  12,  14,  20,  7,   radical
  659, 659,           2,  4,  1,  10,  9,   13,  13,  15,  21,  8,   prime
  660, 2² 3 5 11,     0,  0,  2,  0,   10,  14,  14,  16,  22,  9,   
  661, 661,           1,  1,  3,  1,   11,  15,  15,  17,  23,  10,  prime
  662, 2 331,         2,  2,  4,  2,   12,  16,  16,  18,  24,  11,  radical
  663, 3 13 17,       0,  3,  5,  3,   0,   0,   17,  19,  25,  12,  radical
  664, 2³ 83,         1,  4,  6,  4,   1,   1,   18,  20,  26,  13,  
  665, 5 7 19,        2,  0,  0,  5,   2,   2,   0,   21,  27,  14,  radical
  666, 2 3² 37,       0,  1,  1,  6,   3,   3,   1,   22,  28,  15,  
  667, 23 29,         1,  2,  2,  7,   4,   4,   2,   0,   0,   16,  radical
  668, 2² 167,        2,  3,  3,  8,   5,   5,   3,   1,   1,   17,  
  669, 3 223,         0,  4,  4,  9,   6,   6,   4,   2,   2,   18,  radical
  670, 2 5 67,        1,  0,  5,  10,  7,   7,   5,   3,   3,   19,  radical
  671, 11 61,         2,  1,  6,  0,   8,   8,   6,   4,   4,   20,  radical
  672, 2⁵ 3 7,        0,  2,  0,  1,   9,   9,   7,   5,   5,   21,  
  673, 673,           1,  3,  1,  2,   10,  10,  8,   6,   6,   22,  prime
  674, 2 337,         2,  4,  2,  3,   11,  11,  9,   7,   7,   23,  radical
  675, 3³ 5²,         0,  0,  3,  4,   12,  12,  10,  8,   8,   24,  
  676, 2² 13²,        1,  1,  4,  5,   0,   13,  11,  9,   9,   25,  radical power
  677, 677,           2,  2,  5,  6,   1,   14,  12,  10,  10,  26,  prime
  678, 2 3 113,       0,  3,  6,  7,   2,   15,  13,  11,  11,  27,  radical
  679, 7 97,          1,  4,  0,  8,   3,   16,  14,  12,  12,  28,  radical
  680, 2³ 5 17,       2,  0,  1,  9,   4,   0,   15,  13,  13,  29,  
  681, 3 227,         0,  1,  2,  10,  5,   1,   16,  14,  14,  30,  radical
  682, 2 11 31,       1,  2,  3,  0,   6,   2,   17,  15,  15,  0,   radical
  683, 683,           2,  3,  4,  1,   7,   3,   18,  16,  16,  1,   prime
  684, 2² 3² 19,      0,  4,  5,  2,   8,   4,   0,   17,  17,  2,   
  685, 5 137,         1,  0,  6,  3,   9,   5,   1,   18,  18,  3,   radical
  686, 2 7³,          2,  1,  0,  4,   10,  6,   2,   19,  19,  4,   
  687, 3 229,         0,  2,  1,  5,   11,  7,   3,   20,  20,  5,   radical
  688, 2⁴ 43,         1,  3,  2,  6,   12,  8,   4,   21,  21,  6,   
  689, 13 53,         2,  4,  3,  7,   0,   9,   5,   22,  22,  7,   radical
  690, 2 3 5 23,      0,  0,  4,  8,   1,   10,  6,   0,   23,  8,   radical
  691, 691,           1,  1,  5,  9,   2,   11,  7,   1,   24,  9,   prime
  692, 2² 173,        2,  2,  6,  10,  3,   12,  8,   2,   25,  10,  
  693, 3² 7 11,       0,  3,  0,  0,   4,   13,  9,   3,   26,  11,  
  694, 2 347,         1,  4,  1,  1,   5,   14,  10,  4,   27,  12,  radical
  695, 5 139,         2,  0,  2,  2,   6,   15,  11,  5,   28,  13,  radical
  696, 2³ 3 29,       0,  1,  3,  3,   7,   16,  12,  6,   0,   14,  
  697, 17 41,         1,  2,  4,  4,   8,   0,   13,  7,   1,   15,  radical
  698, 2 349,         2,  3,  5,  5,   9,   1,   14,  8,   2,   16,  radical
  699, 3 233,         0,  4,  6,  6,   10,  2,   15,  9,   3,   17,  radical
  700, 2² 5² 7,       1,  0,  0,  7,   11,  3,   16,  10,  4,   18,  
  701, 701,           2,  1,  1,  8,   12,  4,   17,  11,  5,   19,  prime
  702, 2 3³ 13,       0,  2,  2,  9,   0,   5,   18,  12,  6,   20,  
  703, 19 37,         1,  3,  3,  10,  1,   6,   0,   13,  7,   21,  radical
  704, 2⁶ 11,         2,  4,  4,  0,   2,   7,   1,   14,  8,   22,  
  705, 3 5 47,        0,  0,  5,  1,   3,   8,   2,   15,  9,   23,  radical
  706, 2 353,         1,  1,  6,  2,   4,   9,   3,   16,  10,  24,  radical
  707, 7 101,         2,  2,  0,  3,   5,   10,  4,   17,  11,  25,  radical
  708, 2² 3 59,       0,  3,  1,  4,   6,   11,  5,   18,  12,  26,  
  709, 709,           1,  4,  2,  5,   7,   12,  6,   19,  13,  27,  prime
  710, 2 5 71,        2,  0,  3,  6,   8,   13,  7,   20,  14,  28,  radical
  711, 3² 79,         0,  1,  4,  7,   9,   14,  8,   21,  15,  29,  
  712, 2³ 89,         1,  2,  5,  8,   10,  15,  9,   22,  16,  30,  
  713, 23 31,         2,  3,  6,  9,   11,  16,  10,  0,   17,  0,   radical
  714, 2 3 7 17,      0,  4,  0,  10,  12,  0,   11,  1,   18,  1,   radical
  715, 5 11 13,       1,  0,  1,  0,   0,   1,   12,  2,   19,  2,   radical
  716, 2² 179,        2,  1,  2,  1,   1,   2,   13,  3,   20,  3,   
  717, 3 239,         0,  2,  3,  2,   2,   3,   14,  4,   21,  4,   radical
  718, 2 359,         1,  3,  4,  3,   3,   4,   15,  5,   22,  5,   radical
  719, 719,           2,  4,  5,  4,   4,   5,   16,  6,   23,  6,   prime
  720, 2⁴ 3² 5,       0,  0,  6,  5,   5,   6,   17,  7,   24,  7,   
  721, 7 103,         1,  1,  0,  6,   6,   7,   18,  8,   25,  8,   radical
  722, 2 19²,         2,  2,  1,  7,   7,   8,   0,   9,   26,  9,   
  723, 3 241,         0,  3,  2,  8,   8,   9,   1,   10,  27,  10,  radical
  724, 2² 181,        1,  4,  3,  9,   9,   10,  2,   11,  28,  11,  
  725, 5² 29,         2,  0,  4,  10,  10,  11,  3,   12,  0,   12,  
  726, 2 3 11²,       0,  1,  5,  0,   11,  12,  4,   13,  1,   13,  
  727, 727,           1,  2,  6,  1,   12,  13,  5,   14,  2,   14,  prime
  728, 2³ 7 13,       2,  3,  0,  2,   0,   14,  6,   15,  3,   15,  
  729, 3⁶,            0,  4,  1,  3,   1,   15,  7,   16,  4,   16,  prime power
  730, 2 5 73,        1,  0,  2,  4,   2,   16,  8,   17,  5,   17,  radical
  731, 17 43,         2,  1,  3,  5,   3,   0,   9,   18,  6,   18,  radical
  732, 2² 3 61,       0,  2,  4,  6,   4,   1,   10,  19,  7,   19,  
  733, 733,           1,  3,  5,  7,   5,   2,   11,  20,  8,   20,  prime
  734, 2 367,         2,  4,  6,  8,   6,   3,   12,  21,  9,   21,  radical
  735, 3 5 7²,        0,  0,  0,  9,   7,   4,   13,  22,  10,  22,  
  736, 2⁵ 23,         1,  1,  1,  10,  8,   5,   14,  0,   11,  23,  
  737, 11 67,         2,  2,  2,  0,   9,   6,   15,  1,   12,  24,  radical
  738, 2 3² 41,       0,  3,  3,  1,   10,  7,   16,  2,   13,  25,  
  739, 739,           1,  4,  4,  2,   11,  8,   17,  3,   14,  26,  prime
  740, 2² 5 37,       2,  0,  5,  3,   12,  9,   18,  4,   15,  27,  
  741, 3 13 19,       0,  1,  6,  4,   0,   10,  0,   5,   16,  28,  radical
  742, 2 7 53,        1,  2,  0,  5,   1,   11,  1,   6,   17,  29,  radical
  743, 743,           2,  3,  1,  6,   2,   12,  2,   7,   18,  30,  prime
  744, 2³ 3 31,       0,  4,  2,  7,   3,   13,  3,   8,   19,  0,   
  745, 5 149,         1,  0,  3,  8,   4,   14,  4,   9,   20,  1,   radical
  746, 2 373,         2,  1,  4,  9,   5,   15,  5,   10,  21,  2,   radical
  747, 3² 83,         0,  2,  5,  10,  6,   16,  6,   11,  22,  3,   
  748, 2² 11 17,      1,  3,  6,  0,   7,   0,   7,   12,  23,  4,   
  749, 7 107,         2,  4,  0,  1,   8,   1,   8,   13,  24,  5,   radical
  750, 2 3 5³,        0,  0,  1,  2,   9,   2,   9,   14,  25,  6,   
  751, 751,           1,  1,  2,  3,   10,  3,   10,  15,  26,  7,   prime
  752, 2⁴ 47,         2,  2,  3,  4,   11,  4,   11,  16,  27,  8,   
  753, 3 251,         0,  3,  4,  5,   12,  5,   12,  17,  28,  9,   radical
  754, 2 13 29,       1,  4,  5,  6,   0,   6,   13,  18,  0,   10,  radical
  755, 5 151,         2,  0,  6,  7,   1,   7,   14,  19,  1,   11,  radical
  756, 2² 3³ 7,       0,  1,  0,  8,   2,   8,   15,  20,  2,   12,  
  757, 757,           1,  2,  1,  9,   3,   9,   16,  21,  3,   13,  prime
  758, 2 379,         2,  3,  2,  10,  4,   10,  17,  22,  4,   14,  radical
  759, 3 11 23,       0,  4,  3,  0,   5,   11,  18,  0,   5,   15,  radical
  760, 2³ 5 19,       1,  0,  4,  1,   6,   12,  0,   1,   6,   16,  
  761, 761,           2,  1,  5,  2,   7,   13,  1,   2,   7,   17,  prime
  762, 2 3 127,       0,  2,  6,  3,   8,   14,  2,   3,   8,   18,  radical
  763, 7 109,         1,  3,  0,  4,   9,   15,  3,   4,   9,   19,  radical
  764, 2² 191,        2,  4,  1,  5,   10,  16,  4,   5,   10,  20,  
  765, 3² 5 17,       0,  0,  2,  6,   11,  0,   5,   6,   11,  21,  
  766, 2 383,         1,  1,  3,  7,   12,  1,   6,   7,   12,  22,  radical
  767, 13 59,         2,  2,  4,  8,   0,   2,   7,   8,   13,  23,  radical
  768, 2⁸ 3,          0,  3,  5,  9,   1,   3,   8,   9,   14,  24,  
  769, 769,           1,  4,  6,  10,  2,   4,   9,   10,  15,  25,  prime
  770, 2 5 7 11,      2,  0,  0,  0,   3,   5,   10,  11,  16,  26,  radical
  771, 3 257,         0,  1,  1,  1,   4,   6,   11,  12,  17,  27,  radical
  772, 2² 193,        1,  2,  2,  2,   5,   7,   12,  13,  18,  28,  
  773, 773,           2,  3,  3,  3,   6,   8,   13,  14,  19,  29,  prime
  774, 2 3² 43,       0,  4,  4,  4,   7,   9,   14,  15,  20,  30,  
  775, 5² 31,         1,  0,  5,  5,   8,   10,  15,  16,  21,  0,   
  776, 2³ 97,         2,  1,  6,  6,   9,   11,  16,  17,  22,  1,   
  777, 3 7 37,        0,  2,  0,  7,   10,  12,  17,  18,  23,  2,   radical
  778, 2 389,         1,  3,  1,  8,   11,  13,  18,  19,  24,  3,   radical
  779, 19 41,         2,  4,  2,  9,   12,  14,  0,   20,  25,  4,   radical
  780, 2² 3 5 13,     0,  0,  3,  10,  0,   15,  1,   21,  26,  5,   
  781, 11 71,         1,  1,  4,  0,   1,   16,  2,   22,  27,  6,   radical
  782, 2 17 23,       2,  2,  5,  1,   2,   0,   3,   0,   28,  7,   radical
  783, 3³ 29,         0,  3,  6,  2,   3,   1,   4,   1,   0,   8,   
  784, 2⁴ 7²,         1,  4,  0,  3,   4,   2,   5,   2,   1,   9,   
  785, 5 157,         2,  0,  1,  4,   5,   3,   6,   3,   2,   10,  radical
  786, 2 3 131,       0,  1,  2,  5,   6,   4,   7,   4,   3,   11,  radical
  787, 787,           1,  2,  3,  6,   7,   5,   8,   5,   4,   12,  prime
  788, 2² 197,        2,  3,  4,  7,   8,   6,   9,   6,   5,   13,  
  789, 3 263,         0,  4,  5,  8,   9,   7,   10,  7,   6,   14,  radical
  790, 2 5 79,        1,  0,  6,  9,   10,  8,   11,  8,   7,   15,  radical
  791, 7 113,         2,  1,  0,  10,  11,  9,   12,  9,   8,   16,  radical
  792, 2³ 3² 11,      0,  2,  1,  0,   12,  10,  13,  10,  9,   17,  
  793, 13 61,         1,  3,  2,  1,   0,   11,  14,  11,  10,  18,  radical
  794, 2 397,         2,  4,  3,  2,   1,   12,  15,  12,  11,  19,  radical
  795, 3 5 53,        0,  0,  4,  3,   2,   13,  16,  13,  12,  20,  radical
  796, 2² 199,        1,  1,  5,  4,   3,   14,  17,  14,  13,  21,  
  797, 797,           2,  2,  6,  5,   4,   15,  18,  15,  14,  22,  prime
  798, 2 3 7 19,      0,  3,  0,  6,   5,   16,  0,   16,  15,  23,  radical
  799, 17 47,         1,  4,  1,  7,   6,   0,   1,   17,  16,  24,  radical
  800, 2⁵ 5²,         2,  0,  2,  8,   7,   1,   2,   18,  17,  25,  
  801, 3² 89,         0,  1,  3,  9,   8,   2,   3,   19,  18,  26,  
  802, 2 401,         1,  2,  4,  10,  9,   3,   4,   20,  19,  27,  radical
  803, 11 73,         2,  3,  5,  0,   10,  4,   5,   21,  20,  28,  radical
  804, 2² 3 67,       0,  4,  6,  1,   11,  5,   6,   22,  21,  29,  
  805, 5 7 23,        1,  0,  0,  2,   12,  6,   7,   0,   22,  30,  radical
  806, 2 13 31,       2,  1,  1,  3,   0,   7,   8,   1,   23,  0,   radical
  807, 3 269,         0,  2,  2,  4,   1,   8,   9,   2,   24,  1,   radical
  808, 2³ 101,        1,  3,  3,  5,   2,   9,   10,  3,   25,  2,   
  809, 809,           2,  4,  4,  6,   3,   10,  11,  4,   26,  3,   prime
  810, 2 3⁴ 5,        0,  0,  5,  7,   4,   11,  12,  5,   27,  4,   
  811, 811,           1,  1,  6,  8,   5,   12,  13,  6,   28,  5,   prime
  812, 2² 7 29,       2,  2,  0,  9,   6,   13,  14,  7,   0,   6,   
  813, 3 271,         0,  3,  1,  10,  7,   14,  15,  8,   1,   7,   radical
  814, 2 11 37,       1,  4,  2,  0,   8,   15,  16,  9,   2,   8,   radical
  815, 5 163,         2,  0,  3,  1,   9,   16,  17,  10,  3,   9,   radical
  816, 2⁴ 3 17,       0,  1,  4,  2,   10,  0,   18,  11,  4,   10,  
  817, 19 43,         1,  2,  5,  3,   11,  1,   0,   12,  5,   11,  radical
  818, 2 409,         2,  3,  6,  4,   12,  2,   1,   13,  6,   12,  radical
  819, 3² 7 13,       0,  4,  0,  5,   0,   3,   2,   14,  7,   13,  
  820, 2² 5 41,       1,  0,  1,  6,   1,   4,   3,   15,  8,   14,  
  821, 821,           2,  1,  2,  7,   2,   5,   4,   16,  9,   15,  prime
  822, 2 3 137,       0,  2,  3,  8,   3,   6,   5,   17,  10,  16,  radical
  823, 823,           1,  3,  4,  9,   4,   7,   6,   18,  11,  17,  prime
  824, 2³ 103,        2,  4,  5,  10,  5,   8,   7,   19,  12,  18,  
  825, 3 5² 11,       0,  0,  6,  0,   6,   9,   8,   20,  13,  19,  
  826, 2 7 59,        1,  1,  0,  1,   7,   10,  9,   21,  14,  20,  radical
  827, 827,           2,  2,  1,  2,   8,   11,  10,  22,  15,  21,  prime
  828, 2² 3² 23,      0,  3,  2,  3,   9,   12,  11,  0,   16,  22,  
  829, 829,           1,  4,  3,  4,   10,  13,  12,  1,   17,  23,  prime
  830, 2 5 83,        2,  0,  4,  5,   11,  14,  13,  2,   18,  24,  radical
  831, 3 277,         0,  1,  5,  6,   12,  15,  14,  3,   19,  25,  radical
  832, 2⁶ 13,         1,  2,  6,  7,   0,   16,  15,  4,   20,  26,  
  833, 7² 17,         2,  3,  0,  8,   1,   0,   16,  5,   21,  27,  
  834, 2 3 139,       0,  4,  1,  9,   2,   1,   17,  6,   22,  28,  radical
  835, 5 167,         1,  0,  2,  10,  3,   2,   18,  7,   23,  29,  radical
  836, 2² 11 19,      2,  1,  3,  0,   4,   3,   0,   8,   24,  30,  
  837, 3³ 31,         0,  2,  4,  1,   5,   4,   1,   9,   25,  0,   
  838, 2 419,         1,  3,  5,  2,   6,   5,   2,   10,  26,  1,   radical
  839, 839,           2,  4,  6,  3,   7,   6,   3,   11,  27,  2,   prime
  840, 2³ 3 5 7,      0,  0,  0,  4,   8,   7,   4,   12,  28,  3,   
  841, 29²,           1,  1,  1,  5,   9,   8,   5,   13,  0,   4,   prime power
  842, 2 421,         2,  2,  2,  6,   10,  9,   6,   14,  1,   5,   radical
  843, 3 281,         0,  3,  3,  7,   11,  10,  7,   15,  2,   6,   radical
  844, 2² 211,        1,  4,  4,  8,   12,  11,  8,   16,  3,   7,   
  845, 5 13²,         2,  0,  5,  9,   0,   12,  9,   17,  4,   8,   
  846, 2 3² 47,       0,  1,  6,  10,  1,   13,  10,  18,  5,   9,   
  847, 7 11²,         1,  2,  0,  0,   2,   14,  11,  19,  6,   10,  
  848, 2⁴ 53,         2,  3,  1,  1,   3,   15,  12,  20,  7,   11,  
  849, 3 283,         0,  4,  2,  2,   4,   16,  13,  21,  8,   12,  radical
  850, 2 5² 17,       1,  0,  3,  3,   5,   0,   14,  22,  9,   13,  
  851, 23 37,         2,  1,  4,  4,   6,   1,   15,  0,   10,  14,  radical
  852, 2² 3 71,       0,  2,  5,  5,   7,   2,   16,  1,   11,  15,  
  853, 853,           1,  3,  6,  6,   8,   3,   17,  2,   12,  16,  prime
  854, 2 7 61,        2,  4,  0,  7,   9,   4,   18,  3,   13,  17,  radical
  855, 3² 5 19,       0,  0,  1,  8,   10,  5,   0,   4,   14,  18,  
  856, 2³ 107,        1,  1,  2,  9,   11,  6,   1,   5,   15,  19,  
  857, 857,           2,  2,  3,  10,  12,  7,   2,   6,   16,  20,  prime
  858, 2 3 11 13,     0,  3,  4,  0,   0,   8,   3,   7,   17,  21,  radical
  859, 859,           1,  4,  5,  1,   1,   9,   4,   8,   18,  22,  prime
  860, 2² 5 43,       2,  0,  6,  2,   2,   10,  5,   9,   19,  23,  
  861, 3 7 41,        0,  1,  0,  3,   3,   11,  6,   10,  20,  24,  radical
  862, 2 431,         1,  2,  1,  4,   4,   12,  7,   11,  21,  25,  radical
  863, 863,           2,  3,  2,  5,   5,   13,  8,   12,  22,  26,  prime
  864, 2⁵ 3³,         0,  4,  3,  6,   6,   14,  9,   13,  23,  27,  
  865, 5 173,         1,  0,  4,  7,   7,   15,  10,  14,  24,  28,  radical
  866, 2 433,         2,  1,  5,  8,   8,   16,  11,  15,  25,  29,  radical
  867, 3 17²,         0,  2,  6,  9,   9,   0,   12,  16,  26,  30,  
  868, 2² 7 31,       1,  3,  0,  10,  10,  1,   13,  17,  27,  0,   
  869, 11 79,         2,  4,  1,  0,   11,  2,   14,  18,  28,  1,   radical
  870, 2 3 5 29,      0,  0,  2,  1,   12,  3,   15,  19,  0,   2,   radical
  871, 13 67,         1,  1,  3,  2,   0,   4,   16,  20,  1,   3,   radical
  872, 2³ 109,        2,  2,  4,  3,   1,   5,   17,  21,  2,   4,   
  873, 3² 97,         0,  3,  5,  4,   2,   6,   18,  22,  3,   5,   
  874, 2 19 23,       1,  4,  6,  5,   3,   7,   0,   0,   4,   6,   radical
  875, 5³ 7,          2,  0,  0,  6,   4,   8,   1,   1,   5,   7,   
  876, 2² 3 73,       0,  1,  1,  7,   5,   9,   2,   2,   6,   8,   
  877, 877,           1,  2,  2,  8,   6,   10,  3,   3,   7,   9,   prime
  878, 2 439,         2,  3,  3,  9,   7,   11,  4,   4,   8,   10,  radical
  879, 3 293,         0,  4,  4,  10,  8,   12,  5,   5,   9,   11,  radical
  880, 2⁴ 5 11,       1,  0,  5,  0,   9,   13,  6,   6,   10,  12,  
  881, 881,           2,  1,  6,  1,   10,  14,  7,   7,   11,  13,  prime
  882, 2 3² 7²,       0,  2,  0,  2,   11,  15,  8,   8,   12,  14,  
  883, 883,           1,  3,  1,  3,   12,  16,  9,   9,   13,  15,  prime
  884, 2² 13 17,      2,  4,  2,  4,   0,   0,   10,  10,  14,  16,  
  885, 3 5 59,        0,  0,  3,  5,   1,   1,   11,  11,  15,  17,  radical
  886, 2 443,         1,  1,  4,  6,   2,   2,   12,  12,  16,  18,  radical
  887, 887,           2,  2,  5,  7,   3,   3,   13,  13,  17,  19,  prime
  888, 2³ 3 37,       0,  3,  6,  8,   4,   4,   14,  14,  18,  20,  
  889, 7 127,         1,  4,  0,  9,   5,   5,   15,  15,  19,  21,  radical
  890, 2 5 89,        2,  0,  1,  10,  6,   6,   16,  16,  20,  22,  radical
  891, 3⁴ 11,         0,  1,  2,  0,   7,   7,   17,  17,  21,  23,  
  892, 2² 223,        1,  2,  3,  1,   8,   8,   18,  18,  22,  24,  
  893, 19 47,         2,  3,  4,  2,   9,   9,   0,   19,  23,  25,  radical
  894, 2 3 149,       0,  4,  5,  3,   10,  10,  1,   20,  24,  26,  radical
  895, 5 179,         1,  0,  6,  4,   11,  11,  2,   21,  25,  27,  radical
  896, 2⁷ 7,          2,  1,  0,  5,   12,  12,  3,   22,  26,  28,  
  897, 3 13 23,       0,  2,  1,  6,   0,   13,  4,   0,   27,  29,  radical
  898, 2 449,         1,  3,  2,  7,   1,   14,  5,   1,   28,  30,  radical
  899, 29 31,         2,  4,  3,  8,   2,   15,  6,   2,   0,   0,   radical
  900, 2² 3² 5²,      0,  0,  4,  9,   3,   16,  7,   3,   1,   1,   radical power
  901, 17 53,         1,  1,  5,  10,  4,   0,   8,   4,   2,   2,   radical
  902, 2 11 41,       2,  2,  6,  0,   5,   1,   9,   5,   3,   3,   radical
  903, 3 7 43,        0,  3,  0,  1,   6,   2,   10,  6,   4,   4,   radical
  904, 2³ 113,        1,  4,  1,  2,   7,   3,   11,  7,   5,   5,   
  905, 5 181,         2,  0,  2,  3,   8,   4,   12,  8,   6,   6,   radical
  906, 2 3 151,       0,  1,  3,  4,   9,   5,   13,  9,   7,   7,   radical
  907, 907,           1,  2,  4,  5,   10,  6,   14,  10,  8,   8,   prime
  908, 2² 227,        2,  3,  5,  6,   11,  7,   15,  11,  9,   9,   
  909, 3² 101,        0,  4,  6,  7,   12,  8,   16,  12,  10,  10,  
  910, 2 5 7 13,      1,  0,  0,  8,   0,   9,   17,  13,  11,  11,  radical
  911, 911,           2,  1,  1,  9,   1,   10,  18,  14,  12,  12,  prime
  912, 2⁴ 3 19,       0,  2,  2,  10,  2,   11,  0,   15,  13,  13,  
  913, 11 83,         1,  3,  3,  0,   3,   12,  1,   16,  14,  14,  radical
  914, 2 457,         2,  4,  4,  1,   4,   13,  2,   17,  15,  15,  radical
  915, 3 5 61,        0,  0,  5,  2,   5,   14,  3,   18,  16,  16,  radical
  916, 2² 229,        1,  1,  6,  3,   6,   15,  4,   19,  17,  17,  
  917, 7 131,         2,  2,  0,  4,   7,   16,  5,   20,  18,  18,  radical
  918, 2 3³ 17,       0,  3,  1,  5,   8,   0,   6,   21,  19,  19,  
  919, 919,           1,  4,  2,  6,   9,   1,   7,   22,  20,  20,  prime
  920, 2³ 5 23,       2,  0,  3,  7,   10,  2,   8,   0,   21,  21,  
  921, 3 307,         0,  1,  4,  8,   11,  3,   9,   1,   22,  22,  radical
  922, 2 461,         1,  2,  5,  9,   12,  4,   10,  2,   23,  23,  radical
  923, 13 71,         2,  3,  6,  10,  0,   5,   11,  3,   24,  24,  radical
  924, 2² 3 7 11,     0,  4,  0,  0,   1,   6,   12,  4,   25,  25,  
  925, 5² 37,         1,  0,  1,  1,   2,   7,   13,  5,   26,  26,  
  926, 2 463,         2,  1,  2,  2,   3,   8,   14,  6,   27,  27,  radical
  927, 3² 103,        0,  2,  3,  3,   4,   9,   15,  7,   28,  28,  
  928, 2⁵ 29,         1,  3,  4,  4,   5,   10,  16,  8,   0,   29,  
  929, 929,           2,  4,  5,  5,   6,   11,  17,  9,   1,   30,  prime
  930, 2 3 5 31,      0,  0,  6,  6,   7,   12,  18,  10,  2,   0,   radical
  931, 7² 19,         1,  1,  0,  7,   8,   13,  0,   11,  3,   1,   
  932, 2² 233,        2,  2,  1,  8,   9,   14,  1,   12,  4,   2,   
  933, 3 311,         0,  3,  2,  9,   10,  15,  2,   13,  5,   3,   radical
  934, 2 467,         1,  4,  3,  10,  11,  16,  3,   14,  6,   4,   radical
  935, 5 11 17,       2,  0,  4,  0,   12,  0,   4,   15,  7,   5,   radical
  936, 2³ 3² 13,      0,  1,  5,  1,   0,   1,   5,   16,  8,   6,   
  937, 937,           1,  2,  6,  2,   1,   2,   6,   17,  9,   7,   prime
  938, 2 7 67,        2,  3,  0,  3,   2,   3,   7,   18,  10,  8,   radical
  939, 3 313,         0,  4,  1,  4,   3,   4,   8,   19,  11,  9,   radical
  940, 2² 5 47,       1,  0,  2,  5,   4,   5,   9,   20,  12,  10,  
  941, 941,           2,  1,  3,  6,   5,   6,   10,  21,  13,  11,  prime
  942, 2 3 157,       0,  2,  4,  7,   6,   7,   11,  22,  14,  12,  radical
  943, 23 41,         1,  3,  5,  8,   7,   8,   12,  0,   15,  13,  radical
  944, 2⁴ 59,         2,  4,  6,  9,   8,   9,   13,  1,   16,  14,  
  945, 3³ 5 7,        0,  0,  0,  10,  9,   10,  14,  2,   17,  15,  
  946, 2 11 43,       1,  1,  1,  0,   10,  11,  15,  3,   18,  16,  radical
  947, 947,           2,  2,  2,  1,   11,  12,  16,  4,   19,  17,  prime
  948, 2² 3 79,       0,  3,  3,  2,   12,  13,  17,  5,   20,  18,  
  949, 13 73,         1,  4,  4,  3,   0,   14,  18,  6,   21,  19,  radical
  950, 2 5² 19,       2,  0,  5,  4,   1,   15,  0,   7,   22,  20,  
  951, 3 317,         0,  1,  6,  5,   2,   16,  1,   8,   23,  21,  radical
  952, 2³ 7 17,       1,  2,  0,  6,   3,   0,   2,   9,   24,  22,  
  953, 953,           2,  3,  1,  7,   4,   1,   3,   10,  25,  23,  prime
  954, 2 3² 53,       0,  4,  2,  8,   5,   2,   4,   11,  26,  24,  
  955, 5 191,         1,  0,  3,  9,   6,   3,   5,   12,  27,  25,  radical
  956, 2² 239,        2,  1,  4,  10,  7,   4,   6,   13,  28,  26,  
  957, 3 11 29,       0,  2,  5,  0,   8,   5,   7,   14,  0,   27,  radical
  958, 2 479,         1,  3,  6,  1,   9,   6,   8,   15,  1,   28,  radical
  959, 7 137,         2,  4,  0,  2,   10,  7,   9,   16,  2,   29,  radical
  960, 2⁶ 3 5,        0,  0,  1,  3,   11,  8,   10,  17,  3,   30,  
  961, 31²,           1,  1,  2,  4,   12,  9,   11,  18,  4,   0,   prime power
  962, 2 13 37,       2,  2,  3,  5,   0,   10,  12,  19,  5,   1,   radical
  963, 3² 107,        0,  3,  4,  6,   1,   11,  13,  20,  6,   2,   
  964, 2² 241,        1,  4,  5,  7,   2,   12,  14,  21,  7,   3,   
  965, 5 193,         2,  0,  6,  8,   3,   13,  15,  22,  8,   4,   radical
  966, 2 3 7 23,      0,  1,  0,  9,   4,   14,  16,  0,   9,   5,   radical
  967, 967,           1,  2,  1,  10,  5,   15,  17,  1,   10,  6,   prime
  968, 2³ 11²,        2,  3,  2,  0,   6,   16,  18,  2,   11,  7,   
  969, 3 17 19,       0,  4,  3,  1,   7,   0,   0,   3,   12,  8,   radical
  970, 2 5 97,        1,  0,  4,  2,   8,   1,   1,   4,   13,  9,   radical
  971, 971,           2,  1,  5,  3,   9,   2,   2,   5,   14,  10,  prime
  972, 2² 3⁵,         0,  2,  6,  4,   10,  3,   3,   6,   15,  11,  
  973, 7 139,         1,  3,  0,  5,   11,  4,   4,   7,   16,  12,  radical
  974, 2 487,         2,  4,  1,  6,   12,  5,   5,   8,   17,  13,  radical
  975, 3 5² 13,       0,  0,  2,  7,   0,   6,   6,   9,   18,  14,  
  976, 2⁴ 61,         1,  1,  3,  8,   1,   7,   7,   10,  19,  15,  
  977, 977,           2,  2,  4,  9,   2,   8,   8,   11,  20,  16,  prime
  978, 2 3 163,       0,  3,  5,  10,  3,   9,   9,   12,  21,  17,  radical
  979, 11 89,         1,  4,  6,  0,   4,   10,  10,  13,  22,  18,  radical
  980, 2² 5 7²,       2,  0,  0,  1,   5,   11,  11,  14,  23,  19,  
