# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
127, 1111111,    11201,   {127},     15,   (63 1),  39,      (1 7),   0,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191<- 127
129, 10000001,   11210,   {3 43},    44,   (1 7),   0,       (65 1),  8,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97<- 129
131, 10000011,   11212,   {131},     8,    (65 1),  8,       (33 2),  8,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 197<- 131
133, 10000101,   11221,   {7 19},    8,    (33 2),  8,       (67 1),  8,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 133
135, 10000111,   12000,   {3 5},     13,   (67 1),  8,       (17 3),  3,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 229<- 305<- 203<- 135
137, 10001001,   12002,   {137},     32,   (17 3),  3,       (69 1),  3,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137
139, 10001011,   12011,   {139},     13,   (69 1),  3,       (35 2),  3,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 139
141, 10001101,   12020,   {3 47},    3,    (35 2),  3,       (71 1),  37,      1<- 5<- 53<- 141
143, 10001111,   12022,   {11 13},   37,   (71 1),  37,      (9 4),   6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143
145, 10010001,   12101,   {5 29},    42,   (9 4),   6,       (73 1),  42,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145
147, 10010011,   12110,   {3 7},     42,   (73 1),  42,      (37 2),  6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 221<- 147
149, 10010101,   12112,   {149},     6,    (37 2),  6,       (75 1),  3,       1<- 5<- 13<- 17<- 11<- 7<- 149
151, 10010111,   12121,   {151},     3,    (75 1),  3,       (19 3),  6,       1<- 341<- 227<- 151
153, 10011001,   12200,   {3 17},    11,   (19 3),  6,       (77 1),  6,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 115<- 153
155, 10011011,   12202,   {5 31},    30,   (77 1),  6,       (39 2),  11,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155
157, 10011101,   12211,   {157},     11,   (39 2),  11,      (79 1),  11,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157
159, 10011111,   12220,   {3 53},    18,   (79 1),  11,      (5 5),   1,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809<- 539<- 359<- 239<- 159
161, 10100001,   12222,   {7 23},    35,   (5 5),   1,       (81 1),  6,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161
163, 10100011,   20001,   {163},     6,    (81 1),  6,       (41 2),  40,      1<- 5<- 53<- 35<- 23<- 245<- 163
165, 10100101,   20010,   {3 5 11},  40,   (41 2),  40,      (83 1),  40,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 165
167, 10100111,   20012,   {167},     23,   (83 1),  40,      (21 3),  1,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167
169, 10101001,   20021,   {13},      16,   (21 3),  1,       (85 1),  1,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191<- 127<- 169
171, 10101011,   20100,   {3 19},    45,   (85 1),  1,       (43 2),  9,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 193<- 257<- 171
173, 10101101,   20102,   {173},     9,    (43 2),  9,       (87 1),  9,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173
175, 10101111,   20111,   {5 7},     28,   (87 1),  9,       (11 4),  4,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175
177, 10110001,   20120,   {3 59},    9,    (11 4),  4,       (89 1),  9,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 133<- 177
179, 10110011,   20122,   {179},     9,    (89 1),  9,       (45 2),  4,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179
181, 10110101,   20201,   {181},     4,    (45 2),  4,       (91 1),  33,      1<- 5<- 13<- 17<- 181
183, 10110111,   20210,   {3 61},    33,   (91 1),  33,      (23 3),  4,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 413<- 275<- 183
185, 10111001,   20212,   {5 37},    14,   (23 3),  4,       (93 1),  4,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 139<- 185
187, 10111011,   20221,   {11 17},   14,   (93 1),  4,       (47 2),  38,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211<- 281<- 187
189, 10111101,   21000,   {3 7},     38,   (47 2),  38,      (95 1),  38,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 189
191, 10111111,   21002,   {191},     14,   (95 1),  38,      (3 6),   2,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191
193, 11000001,   21011,   {193},     43,   (3 6),   2,       (97 1),  43,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 193
195, 11000011,   21020,   {3 5 13},  43,   (97 1),  43,      (49 2),  7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 293<- 195
197, 11000101,   21022,   {197},     7,    (49 2),  7,       (99 1),  7,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 197
199, 11000111,   21101,   {199},     43,   (99 1),  7,       (25 3),  7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 199
201, 11001001,   21110,   {3 67},    4,    (25 3),  7,       (101 1), 7,       1<- 341<- 227<- 151<- 201
203, 11001011,   21112,   {7 29},    12,   (101 1), 7,       (51 2),  7,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 229<- 305<- 203
205, 11001101,   21121,   {5 41},    7,    (51 2),  7,       (103 1), 31,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 205
207, 11001111,   21200,   {3 23},    31,   (103 1), 31,      (13 4),  2,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 701<- 467<- 311<- 207
209, 11010001,   21202,   {11 19},   12,   (13 4),  2,       (105 1), 12,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209
211, 11010011,   21211,   {211},     12,   (105 1), 12,      (53 2),  2,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211
213, 11010101,   21220,   {3 71},    2,    (53 2),  2,       (107 1), 36,      1<- 5<- 213
