n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
191,0,191,2,1,2,4,9,4,1,7,17,5,6,27,19,3,32,14,8,57,49,45
192,6,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
193,0,193,1,3,4,6,11,6,3,9,19,7,8,29,21,5,34,16,10,59,51,47
194,1,97,1,2,6,9,6,12,2,5,10,4,23,15,11,3,44,38,36,30,26,24
195,0,195,0,0,6,8,0,8,5,11,21,9,10,31,23,7,36,18,12,61,53,49
196,2,49,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49
197,0,197,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55,51
198,1,99,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26
199,0,199,1,4,3,1,4,12,9,15,25,13,14,35,27,11,40,22,16,65,57,53
200,3,25,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25
201,0,201,0,1,5,3,6,14,11,17,27,15,16,37,29,13,42,24,18,0,59,55
202,1,101,2,1,3,2,10,16,6,9,14,8,27,19,15,7,48,42,40,34,30,28
203,0,203,2,3,0,5,8,16,13,19,0,17,18,39,31,15,44,26,20,2,61,57
204,2,51,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51,51
205,0,205,1,0,2,7,10,1,15,21,2,19,20,0,33,17,46,28,22,4,63,59
206,1,103,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32,30
207,0,207,0,2,4,9,12,3,17,0,4,21,22,2,35,19,48,30,24,6,65,61
208,4,13,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
209,0,209,2,4,6,0,1,5,0,2,6,23,24,4,37,21,50,32,26,8,67,63
210,1,105,0,0,0,6,1,3,10,13,18,12,31,23,19,11,52,46,44,38,34,32
211,0,211,1,1,1,2,3,7,2,4,8,25,26,6,39,23,52,34,28,10,69,65
212,2,53,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53
213,0,213,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0,67
214,1,107,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36,34
215,0,215,2,0,5,6,7,11,6,8,12,29,30,10,0,27,3,38,32,14,2,69
216,3,27,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27
217,0,217,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4,71
218,1,109,1,4,4,10,5,7,14,17,22,16,35,27,23,15,3,50,48,42,38,36
219,0,219,0,4,2,10,11,15,10,12,16,2,34,14,4,31,7,42,36,18,6,0
220,2,55,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55,55
221,0,221,2,1,4,1,0,0,12,14,18,4,36,16,6,33,9,44,38,20,8,2
222,1,111,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38
223,0,223,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10,4
224,5,7,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
225,0,225,0,0,1,5,4,4,16,18,22,8,3,20,10,37,13,48,42,24,12,6
226,1,113,2,3,1,3,9,11,18,21,26,20,2,31,27,19,7,54,52,46,42,40
227,0,227,2,2,3,7,6,6,18,20,24,10,5,22,12,39,15,50,44,26,14,8
228,2,57,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57
229,0,229,1,4,5,9,8,8,1,22,26,12,7,24,14,41,17,52,46,28,16,10
230,1,115,1,0,3,5,11,13,1,0,28,22,4,33,29,21,9,56,54,48,44,42
231,0,231,0,1,0,0,10,10,3,1,28,14,9,26,16,43,19,54,48,30,18,12
232,3,29,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29
233,0,233,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20,14
234,1,117,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44
235,0,235,1,0,4,4,1,14,7,5,3,18,13,30,20,0,23,58,52,34,22,16
236,2,59,2,4,3,4,7,8,2,13,1,28,22,18,16,12,6,0,59,59,59,59
237,0,237,0,2,6,6,3,16,9,7,5,20,15,32,22,2,25,1,54,36,24,18
238,1,119,2,4,0,9,2,0,5,4,3,26,8,37,33,25,13,1,58,52,48,46
239,0,239,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26,20
240,4,15,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
241,0,241,1,1,3,10,7,3,13,11,9,24,19,36,26,6,29,5,58,40,28,22
242,1,121,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48
243,0,243,0,3,5,1,9,5,15,13,11,26,21,38,28,8,31,7,60,42,30,24
