# Twin prime centers up to 10000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "░", 2 = "▒", 3 = "█")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "░", 2 = "█")
# `factors` the prime factors of n

    n,      base3,    symbol3,           base2,         symbol2, factors
 7758,  101122100,  ▒░▒▒██▒░░,   1111001001110,   ████░░█░░███░, {2 3 431}
 7878,  101210210,  ▒░▒█▒░█▒░,   1111011000110,   ████░██░░░██░, {2 3 13 101}
 7950,  101220110,  ▒░▒██░▒▒░,   1111100001110,   █████░░░░███░, {2 3 5 53}
 8010,  101222200,  ▒░▒████░░,   1111101001010,   █████░█░░█░█░, {2 3 5 89}
 8088,  102002120,  ▒░█░░█▒█░,   1111110011000,   ██████░░██░░░, {2 3 337}
 8220,  102021110,  ▒░█░█▒▒▒░,  10000000011100,  █░░░░░░░░███░░, {2 3 5 137}
 8232,  102021220,  ▒░█░█▒██░,  10000000101000,  █░░░░░░░█░█░░░, {2 3 7}
 8292,  102101010,  ▒░█▒░▒░▒░,  10000001100100,  █░░░░░░██░░█░░, {2 3 691}
 8388,  102111200,  ▒░█▒▒▒█░░,  10000011000100,  █░░░░░██░░░█░░, {2 3 233}
 8430,  102120020,  ▒░█▒█░░█░,  10000011101110,  █░░░░░███░███░, {2 3 5 281}
 8538,  102201020,  ▒░██░▒░█░,  10000101011010,  █░░░░█░█░██░█░, {2 3 1423}
 8598,  102210110,  ▒░██▒░▒▒░,  10000110010110,  █░░░░██░░█░██░, {2 3 1433}
 8628,  102211120,  ▒░██▒▒▒█░,  10000110110100,  █░░░░██░██░█░░, {2 3 719}
 8820,  110002200,  ▒▒░░░██░░,  10001001110100,  █░░░█░░███░█░░, {2 3 5 7}
 8838,  110010100,  ▒▒░░▒░▒░░,  10001010000110,  █░░░█░█░░░░██░, {2 3 491}
 8862,  110011020,  ▒▒░░▒▒░█░,  10001010011110,  █░░░█░█░░████░, {2 3 7 211}
 8970,  110022020,  ▒▒░░██░█░,  10001100001010,  █░░░██░░░░█░█░, {2 3 5 13 23}
 9000,  110100100,  ▒▒░▒░░▒░░,  10001100101000,  █░░░██░░█░█░░░, {2 3 5}
 9012,  110100210,  ▒▒░▒░░█▒░,  10001100110100,  █░░░██░░██░█░░, {2 3 751}
 9042,  110101220,  ▒▒░▒░▒██░,  10001101010010,  █░░░██░█░█░░█░, {2 3 11 137}
 9240,  110200020,  ▒▒░█░░░█░,  10010000011000,  █░░█░░░░░██░░░, {2 3 5 7 11}
 9282,  110201210,  ▒▒░█░▒█▒░,  10010001000010,  █░░█░░░█░░░░█░, {2 3 7 13 17}
 9342,  110211000,  ▒▒░█▒▒░░░,  10010001111110,  █░░█░░░██████░, {2 3 173}
 9420,  110220220,  ▒▒░██░██░,  10010011001100,  █░░█░░██░░██░░, {2 3 5 157}
 9432,  110221100,  ▒▒░██▒▒░░,  10010011011000,  █░░█░░██░██░░░, {2 3 131}
 9438,  110221120,  ▒▒░██▒▒█░,  10010011011110,  █░░█░░██░████░, {2 3 11 13}
 9462,  110222110,  ▒▒░███▒▒░,  10010011110110,  █░░█░░████░██░, {2 3 19 83}
 9630,  111012200,  ▒▒▒░▒██░░,  10010110011110,  █░░█░██░░████░, {2 3 5 107}
 9678,  111021110,  ▒▒▒░█▒▒▒░,  10010111001110,  █░░█░███░░███░, {2 3 1613}
 9720,  111100000,  ▒▒▒▒░░░░░,  10010111111000,  █░░█░██████░░░, {2 3 5}
 9768,  111101210,  ▒▒▒▒░▒█▒░,  10011000101000,  █░░██░░░█░█░░░, {2 3 11 37}
 9858,  111112010,  ▒▒▒▒▒█░▒░,  10011010000010,  █░░██░█░░░░░█░, {2 3 31 53}
 9930,  111121210,  ▒▒▒▒█▒█▒░,  10011011001010,  █░░██░██░░█░█░, {2 3 5 331}
