# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
 2³⋅3⋅5³,                      [1 37 61 83]
3001,                          [48]
 2⋅19⋅79,                      [39]
  3⋅7⋅11⋅13,                   [34 46 64 76 86]
   2²⋅751,                     [33]
    5⋅601,                     [6 36 78]
     2⋅3²⋅167,                 [5 35 43]
    31⋅97,                     [54]
   2⁶⋅47,                      [81]
  3⋅17⋅59,                     [10 40 52 70 100]
 2⋅5⋅7⋅43,                     [9 39 57]
3011,                          [12 72]
 2²⋅3⋅251,                     [11 49 55]
  23⋅131,                      [96]
   2⋅11⋅137,                   [75]
    3²⋅5⋅67,                   [4 46 52]
   2³⋅13⋅29,                   [45 63]
  7⋅431,                       [6]
 2⋅3⋅503,                      [19 49 61 65 91]
3019,                          [18 48]
 2²⋅5⋅151,                     [21 63]
  3⋅19⋅53,                     [2 20 58 68]
 2⋅1511,                       []
3023,                          [60 66 96]
 2⁴⋅3³⋅7,                      [13 25 55 85 97]
  5²⋅11²,                      [24 54]
   2⋅17⋅89,                    [15 57 63]
    3⋅1009,                    [56]
     2²⋅757,                   [9]
      13⋅233,                  [60 90]
       2⋅3⋅5⋅101,              [7 11 19 31 59 91]
      7⋅433,                   [30 78]
     2³⋅379,                   [9]
    3²⋅337,                    [34 76]
   2⋅37⋅41,                    [15 33]
  5⋅607,                       []
 2²⋅3⋅11⋅23,                   [13 25 73 83]
3037,                          [84]
 2⋅7²⋅31,                      [81 99]
  3⋅1013,                      [2 28 40 70 82]
 2⁵⋅5⋅19,                      [21 39 69]
3041,                          [42 78]
 2⋅3²⋅13²,                     [19 41 79]
  17⋅179,                      [6 24]
   2²⋅761,                     [45 75]
    3⋅5⋅7⋅29,                  [4 22 34 44 74 76 92]
   2⋅1523,                     [75]
  11⋅277,                      [36 90]
 2³⋅3⋅127,                     []
3049,                          [12 30]
 2⋅5²⋅61,                      [39 87]
  3³⋅113,                      [10 28 32]
   2²⋅7⋅109,                   [15]
    43⋅71,                     [30 84]
     2⋅3⋅509,                  [13 35 55 83]
      5⋅13⋅47,                 [6 54]
     2⁴⋅191,                   [33]
    3⋅1019,                    []
   2⋅11⋅139,                   [9 21]
  7⋅19⋅23,                     [60]
 2²⋅3²⋅5⋅17,                   [19 23 49 59 61]
3061,                          [60]
 2⋅1531,                       [21]
  3⋅1021,                      [26 100]
   2³⋅383,                     [3 15 45]
  5⋅613,                       [24 54]
 2⋅3⋅7⋅73,                     [17 43 55 97]
3067,                          [96]
 2²⋅13⋅59,                     [69 99]
  3²⋅11⋅31,                    [20 50 68 98 100]
   2⋅5⋅307,                    [9 51 99]
    37⋅83,                     [48]
     2¹⁰⋅3,                    [11 49]
      7⋅439,                   [6 36]
     2⋅29⋅53,                  [63]
    3⋅5²⋅41,                   [8 14 34]
   2²⋅769,                     []
  17⋅181,                      []
 2⋅3⁴⋅19,                      [11 41 59]
3079,                          [30 42]
 2³⋅5⋅7⋅11,                    [39 57]
  3⋅13⋅79,                     [2 40 82]
 2⋅23⋅67,                      [81]
3083,                          [84]
 2²⋅3⋅257,                     [5 35 83 85]
  5⋅617,                       [24 36 84]
   2⋅1543,                     [3]
  3²⋅7³,                       [50 76]
 2⁴⋅193,                       [21]
3089,                          [48 78]
 2⋅3⋅5⋅103,                    [29 79 91]
  11⋅281,                      [30 72 90]
   2²⋅773,                     []
    3⋅1031,                    [26 44 70 74 94]
     2⋅7⋅13⋅17,                [15 27 75 93]
      5⋅619,                   [72 96]
       2³⋅3²⋅43,               [13 73 85 95]
        19⋅163,                []
         2⋅1549,               []
          3⋅1033,              [10 20 38 88]
         2²⋅5²⋅31,             [21 63 81]
        7⋅443,                 [18 90]
       2⋅3⋅11⋅47,              [19 35 61 65 79]
      29⋅107,                  [66 84]
     2⁵⋅97,                    [15 63]
    3³⋅5⋅23,                   [16 64 82 86]
   2⋅1553,                     [57]
  13⋅239,                      [84 96]
 2²⋅3⋅7⋅37,                    [29 59]
3109,                          [60 72]
 2⋅5⋅311,                      [27 99]
  3⋅17⋅61,                     [70 92]
   2³⋅389,                     [51 75]
    11⋅283,                    [24 90]
     2⋅3²⋅173,                 [5 53 73 77 95]
    5⋅7⋅89,                    [6 48 54 66]
   2²⋅19⋅41,                   [75 93]
  3⋅1039,                      [50]
 2⋅1559,                       [51 69 99]
3119,                          []
 2⁴⋅3⋅5⋅13,                    [1 71 83 97]
3121,                          [42 60]
 2⋅7⋅223,                      [81 99]
  3²⋅347,                      [14 40 44 86]
   2²⋅11⋅71,                   [45 57 63]
    5⁵,                        [42 84]
     2⋅3⋅521,                  [37 43 65 77]
      53⋅59,                   [60 90]
       2³⋅17⋅23,               [9 39]
        3⋅7⋅149,               [8 40 62 80 88 92]
       2⋅5⋅313,                [51]
      31⋅101,                  [90]
     2²⋅3³⋅29,                 [49 71]
    13⋅241,                    [54 84 96]
   2⋅1567,                     []
  3⋅5⋅11⋅19,                   [46 52 56 68 74 86 94]
 2⁶⋅7²,                        [27]
3137,                          [54]
 2⋅3⋅523,                      [29 49 71]
  43⋅73,                       [30 78 90]
   2²⋅5⋅157,                   [51]
    3²⋅349,                    [22 62 80]
     2⋅1571,                   [21 75]
      7⋅449,                   [24 60]
       2³⋅3⋅131,               [23 25 65 77]
        5⋅17⋅37,               [24 36 84]
         2⋅11²⋅13,             [57 63]
          3⋅1049,              []
           2²⋅787,             [39 69 81]
            47⋅67,             [60]
             2⋅3²⋅5²⋅7,        [13 31 41 67 71]
            23⋅137,            [30]
           2⁴⋅197,             [15 69]
          3⋅1051,              [16 34 64]
         2⋅19⋅83,              [33 75]
        5⋅631,                 [36 66]
       2²⋅3⋅263,               [35 47 73 95]
      7⋅11⋅41,                 [96]
     2⋅1579,                   []
    3⁵⋅13,                     [22 50 70 92 98]
   2³⋅5⋅79,                    [93 99]
  29⋅109,                      [42]
 2⋅3⋅17⋅31,                    [25 41 95]
3163,                          [54 96]
 2²⋅7⋅113,                     [27 45]
  3⋅5⋅211,                     [2 44 56 86]
 2⋅1583,                       [3 87]
3167,                          [84]
 2⁵⋅3²⋅11,                     [1 49 85 89]
3169,                          [48 60 90]
 2⋅5⋅317,                      [33 51 81 87]
  3⋅7⋅151,                     [50 82 88]
   2²⋅13⋅61,                   [9]
    19⋅167,                    [36 84]
     2⋅3⋅23²,                  [7 55 85]
      5²⋅127,                  [6 12 54 96]
     2³⋅397,                   []
    3²⋅353,                    [10 14 40 94]
   2⋅7⋅227,                    [9]
  11⋅17²,                      [12 42]
 2²⋅3⋅5⋅53,                    [11 71 91]
3181,                          [72]
 2⋅37⋅43,                      []
  3⋅1061,                      [20 46 74]
   2⁴⋅199,                     [3 75]
  5⋅7²⋅13,                     [18 66]
 2⋅3³⋅59,                      [5 17 23 65 67]
3187,                          [66]
 2²⋅797,                       [21 69]
  3⋅1063,                      [2 20 68 70]
 2⋅5⋅11⋅29,                    [27 69 81]
3191,                          []
 2³⋅3⋅7⋅19,                    [11 25 29]
  31⋅103,                      [24]
   2⋅1597,                     [27 57]
    3²⋅5⋅71,                   [8 14 26 58 76]
     2²⋅17⋅47,                 [33 75]
      23⋅139,                  [6 60]
     2⋅3⋅13⋅41,                [11 31 61]
    7⋅457,                     [18 30]
   2⁷⋅5²,                      [9]
  3⋅11⋅97,                     [20]
 2⋅1601,                       [15]
3203,                          []
 2²⋅3²⋅89,                     [13 17 67 95]
  5⋅641,                       [24 96]
   2⋅7⋅229,                    [3 15]
  3⋅1069,                      [44]
 2³⋅401,                       [21 45 99]
3209,                          [42 90]
 2⋅3⋅5⋅107,                    [7 19 41 43 47 89 91]
  13²⋅19,                      [42 48 90]
   2²⋅11⋅73,                   [9 45]
    3³⋅7⋅17,                   [4 44 46 94]
   2⋅1607,                     [45 93]
  5⋅643,                       [6]
 2⁴⋅3⋅67,                      [13 35 97]
3217,                          [36 54 96]
 2⋅1609,                       [81]
  3⋅29⋅37,                     [2 10 32 38 52 82 100]
 2²⋅5⋅7⋅23,                    [33 39 51 99]
3221,                          [30]
 2⋅3²⋅179,                     [31 35 85]
  11⋅293,                      [6 36]
   2³⋅13⋅31,                   [33]
    3⋅5²⋅43,                   [4 34 88]
   2⋅1613,                     [45]
  7⋅461,                       [24]
 2²⋅3⋅269,                     [25 91]
3229,                          [42]
 2⋅5⋅17⋅19,                    [21 27 93]
  3²⋅359,                      [22 28 40 68]
   2⁵⋅101,                     [69]
    53⋅61,                     [24 66 96]
     2⋅3⋅7²⋅11,                [17 25 65 67 97]
      5⋅647,                   [18 66 72]
       2²⋅809,                 [15]
        3⋅13⋅83,               [16 20 34 70]
         2⋅1619,               [21 69 75]
          41⋅79,               [18]
           2³⋅3⁴⋅5,            [11 19 31 59 73]
          7⋅463,               [12 60 72 78]
         2⋅1621,               []
        3⋅23⋅47,               [14 56 76 80]
       2²⋅811,                 [15 27 57 63 75]
      5⋅11⋅59,                 [54 78]
     2⋅3⋅541,                  [25 55 77 83]
    17⋅191,                    [60 66 84]
   2⁴⋅7⋅29,                    [81]
  3²⋅19²,                      [58 80 82]
 2⋅5³⋅13,                      [21 63 69 81]
3251,                          [48]
 2²⋅3⋅271,                     [1 49 61 71]
3253,                          [66 90]
 2⋅1627,                       [3 45]
  3⋅5⋅7⋅31,                    [2 4 46 52 64 68 74 88]
 2³⋅11⋅37,                     [3 75 87]
3257,                          [66 90]
 2⋅3²⋅181,                     [1 41 49 55 71 89]
3259,                          [42 72]
 2²⋅5⋅163,                     [39 69]
  3⋅1087,                      [10 40 52 58 70 98]
   2⋅7⋅233,                    [9 45 81 99]
    13⋅251,                    [60 96]
     2⁶⋅3⋅17,                  [7 35 43 55 83 95 97]
      5⋅653,                   [6 36 48 78 96]
     2⋅23⋅71,                  [57 63]
    3³⋅11²,                    [46 64 76 80]
   2²⋅19⋅43,                   [39 51]
  7⋅467,                       [60 78]
 2⋅3⋅5⋅109,                    [49 53 61 89]
3271,                          [42 90]
 2³⋅409,                       [51]
  3⋅1091,                      [56 70 86]
   2⋅1637,                     [45 57 87]
    5²⋅131,                    [24 54 72 84]
     2²⋅3²⋅7⋅13,               [23 25 47 55 67 85 95]
      29⋅113,                  [24 96]
       2⋅11⋅149,               [21 69]
        3⋅1093,                [20 22 28 50 92]
         2⁴⋅5⋅41,              [21 27 51 63 93]
          17⋅193,              [78 90]
           2⋅3⋅547,            [25 31 61 65 79 91]
            7²⋅67,             [24 30]
             2²⋅821,           [63 75]
              3²⋅5⋅73,         [14 28 34 76]
