# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  745, 5 149,         radical,        1,  0,  3,  8,   4,   14,  4,   9,   20,  1,   5,   7,   14,  40,  3,   37,  13,  8,   35,  15
  746, 2 373,         radical,        2,  1,  4,  9,   5,   15,  5,   10,  21,  2,   6,   8,   15,  41,  4,   38,  14,  9,   36,  16
  747, 3² 83,         ,               0,  2,  5,  10,  6,   16,  6,   11,  22,  3,   7,   9,   16,  42,  5,   39,  15,  10,  37,  17
  748, 2² 11 17,      ,               1,  3,  6,  0,   7,   0,   7,   12,  23,  4,   8,   10,  17,  43,  6,   40,  16,  11,  38,  18
  749, 7 107,         radical,        2,  4,  0,  1,   8,   1,   8,   13,  24,  5,   9,   11,  18,  44,  7,   41,  17,  12,  39,  19
  750, 2 3 5³,        ,               0,  0,  1,  2,   9,   2,   9,   14,  25,  6,   10,  12,  19,  45,  8,   42,  18,  13,  40,  20
  751, 751,           prime,          1,  1,  2,  3,   10,  3,   10,  15,  26,  7,   11,  13,  20,  46,  9,   43,  19,  14,  41,  21
  752, 2⁴ 47,         ,               2,  2,  3,  4,   11,  4,   11,  16,  27,  8,   12,  14,  21,  0,   10,  44,  20,  15,  42,  22
  753, 3 251,         radical,        0,  3,  4,  5,   12,  5,   12,  17,  28,  9,   13,  15,  22,  1,   11,  45,  21,  16,  43,  23
  754, 2 13 29,       radical,        1,  4,  5,  6,   0,   6,   13,  18,  0,   10,  14,  16,  23,  2,   12,  46,  22,  17,  44,  24
  755, 5 151,         radical,        2,  0,  6,  7,   1,   7,   14,  19,  1,   11,  15,  17,  24,  3,   13,  47,  23,  18,  45,  25
  756, 2² 3³ 7,       ,               0,  1,  0,  8,   2,   8,   15,  20,  2,   12,  16,  18,  25,  4,   14,  48,  24,  19,  46,  26
  757, 757,           prime,          1,  2,  1,  9,   3,   9,   16,  21,  3,   13,  17,  19,  26,  5,   15,  49,  25,  20,  47,  27
  758, 2 379,         radical,        2,  3,  2,  10,  4,   10,  17,  22,  4,   14,  18,  20,  27,  6,   16,  50,  26,  21,  48,  28
  759, 3 11 23,       radical,        0,  4,  3,  0,   5,   11,  18,  0,   5,   15,  19,  21,  28,  7,   17,  51,  27,  22,  49,  29
  760, 2³ 5 19,       ,               1,  0,  4,  1,   6,   12,  0,   1,   6,   16,  20,  22,  29,  8,   18,  52,  28,  23,  50,  30
  761, 761,           prime,          2,  1,  5,  2,   7,   13,  1,   2,   7,   17,  21,  23,  30,  9,   19,  53,  29,  24,  51,  31
  762, 2 3 127,       radical,        0,  2,  6,  3,   8,   14,  2,   3,   8,   18,  22,  24,  31,  10,  20,  54,  30,  25,  52,  32
  763, 7 109,         radical,        1,  3,  0,  4,   9,   15,  3,   4,   9,   19,  23,  25,  32,  11,  21,  55,  31,  26,  53,  33
  764, 2² 191,        ,               2,  4,  1,  5,   10,  16,  4,   5,   10,  20,  24,  26,  33,  12,  22,  56,  32,  27,  54,  34
  765, 3² 5 17,       ,               0,  0,  2,  6,   11,  0,   5,   6,   11,  21,  25,  27,  34,  13,  23,  57,  33,  28,  55,  35
  766, 2 383,         radical,        1,  1,  3,  7,   12,  1,   6,   7,   12,  22,  26,  28,  35,  14,  24,  58,  34,  29,  56,  36
  767, 13 59,         radical,        2,  2,  4,  8,   0,   2,   7,   8,   13,  23,  27,  29,  36,  15,  25,  0,   35,  30,  57,  37
  768, 2⁸ 3,          ,               0,  3,  5,  9,   1,   3,   8,   9,   14,  24,  28,  30,  37,  16,  26,  1,   36,  31,  58,  38
  769, 769,           prime,          1,  4,  6,  10,  2,   4,   9,   10,  15,  25,  29,  31,  38,  17,  27,  2,   37,  32,  59,  39
  770, 2 5 7 11,      radical,        2,  0,  0,  0,   3,   5,   10,  11,  16,  26,  30,  32,  39,  18,  28,  3,   38,  33,  60,  40
  771, 3 257,         radical,        0,  1,  1,  1,   4,   6,   11,  12,  17,  27,  31,  33,  40,  19,  29,  4,   39,  34,  61,  41
  772, 2² 193,        ,               1,  2,  2,  2,   5,   7,   12,  13,  18,  28,  32,  34,  41,  20,  30,  5,   40,  35,  62,  42
  773, 773,           prime,          2,  3,  3,  3,   6,   8,   13,  14,  19,  29,  33,  35,  42,  21,  31,  6,   41,  36,  63,  43
  774, 2 3² 43,       ,               0,  4,  4,  4,   7,   9,   14,  15,  20,  30,  34,  36,  0,   22,  32,  7,   42,  37,  64,  44
  775, 5² 31,         ,               1,  0,  5,  5,   8,   10,  15,  16,  21,  0,   35,  37,  1,   23,  33,  8,   43,  38,  65,  45
  776, 2³ 97,         ,               2,  1,  6,  6,   9,   11,  16,  17,  22,  1,   36,  38,  2,   24,  34,  9,   44,  39,  66,  46
  777, 3 7 37,        radical,        0,  2,  0,  7,   10,  12,  17,  18,  23,  2,   0,   39,  3,   25,  35,  10,  45,  40,  67,  47
  778, 2 389,         radical,        1,  3,  1,  8,   11,  13,  18,  19,  24,  3,   1,   40,  4,   26,  36,  11,  46,  41,  68,  48
  779, 19 41,         radical,        2,  4,  2,  9,   12,  14,  0,   20,  25,  4,   2,   0,   5,   27,  37,  12,  47,  42,  69,  49
  780, 2² 3 5 13,     ,               0,  0,  3,  10,  0,   15,  1,   21,  26,  5,   3,   1,   6,   28,  38,  13,  48,  43,  70,  50
  781, 11 71,         radical,        1,  1,  4,  0,   1,   16,  2,   22,  27,  6,   4,   2,   7,   29,  39,  14,  49,  44,  0,   51
  782, 2 17 23,       radical,        2,  2,  5,  1,   2,   0,   3,   0,   28,  7,   5,   3,   8,   30,  40,  15,  50,  45,  1,   52
  783, 3³ 29,         ,               0,  3,  6,  2,   3,   1,   4,   1,   0,   8,   6,   4,   9,   31,  41,  16,  51,  46,  2,   53
  784, 2⁴ 7²,         ,               1,  4,  0,  3,   4,   2,   5,   2,   1,   9,   7,   5,   10,  32,  42,  17,  52,  47,  3,   54
  785, 5 157,         radical,        2,  0,  1,  4,   5,   3,   6,   3,   2,   10,  8,   6,   11,  33,  43,  18,  53,  48,  4,   55
  786, 2 3 131,       radical,        0,  1,  2,  5,   6,   4,   7,   4,   3,   11,  9,   7,   12,  34,  44,  19,  54,  49,  5,   56
  787, 787,           prime,          1,  2,  3,  6,   7,   5,   8,   5,   4,   12,  10,  8,   13,  35,  45,  20,  55,  50,  6,   57
  788, 2² 197,        ,               2,  3,  4,  7,   8,   6,   9,   6,   5,   13,  11,  9,   14,  36,  46,  21,  56,  51,  7,   58
  789, 3 263,         radical,        0,  4,  5,  8,   9,   7,   10,  7,   6,   14,  12,  10,  15,  37,  47,  22,  57,  52,  8,   59
  790, 2 5 79,        radical,        1,  0,  6,  9,   10,  8,   11,  8,   7,   15,  13,  11,  16,  38,  48,  23,  58,  53,  9,   60
  791, 7 113,         radical,        2,  1,  0,  10,  11,  9,   12,  9,   8,   16,  14,  12,  17,  39,  49,  24,  59,  54,  10,  61
  792, 2³ 3² 11,      ,               0,  2,  1,  0,   12,  10,  13,  10,  9,   17,  15,  13,  18,  40,  50,  25,  60,  55,  11,  62
  793, 13 61,         radical,        1,  3,  2,  1,   0,   11,  14,  11,  10,  18,  16,  14,  19,  41,  51,  26,  0,   56,  12,  63
  794, 2 397,         radical,        2,  4,  3,  2,   1,   12,  15,  12,  11,  19,  17,  15,  20,  42,  52,  27,  1,   57,  13,  64
  795, 3 5 53,        radical,        0,  0,  4,  3,   2,   13,  16,  13,  12,  20,  18,  16,  21,  43,  0,   28,  2,   58,  14,  65
  796, 2² 199,        ,               1,  1,  5,  4,   3,   14,  17,  14,  13,  21,  19,  17,  22,  44,  1,   29,  3,   59,  15,  66
  797, 797,           prime,          2,  2,  6,  5,   4,   15,  18,  15,  14,  22,  20,  18,  23,  45,  2,   30,  4,   60,  16,  67
  798, 2 3 7 19,      radical,        0,  3,  0,  6,   5,   16,  0,   16,  15,  23,  21,  19,  24,  46,  3,   31,  5,   61,  17,  68
  799, 17 47,         radical,        1,  4,  1,  7,   6,   0,   1,   17,  16,  24,  22,  20,  25,  0,   4,   32,  6,   62,  18,  69
  800, 2⁵ 5²,         ,               2,  0,  2,  8,   7,   1,   2,   18,  17,  25,  23,  21,  26,  1,   5,   33,  7,   63,  19,  70
  801, 3² 89,         ,               0,  1,  3,  9,   8,   2,   3,   19,  18,  26,  24,  22,  27,  2,   6,   34,  8,   64,  20,  71
  802, 2 401,         radical,        1,  2,  4,  10,  9,   3,   4,   20,  19,  27,  25,  23,  28,  3,   7,   35,  9,   65,  21,  72
  803, 11 73,         radical,        2,  3,  5,  0,   10,  4,   5,   21,  20,  28,  26,  24,  29,  4,   8,   36,  10,  66,  22,  0
  804, 2² 3 67,       ,               0,  4,  6,  1,   11,  5,   6,   22,  21,  29,  27,  25,  30,  5,   9,   37,  11,  0,   23,  1
  805, 5 7 23,        radical,        1,  0,  0,  2,   12,  6,   7,   0,   22,  30,  28,  26,  31,  6,   10,  38,  12,  1,   24,  2
  806, 2 13 31,       radical,        2,  1,  1,  3,   0,   7,   8,   1,   23,  0,   29,  27,  32,  7,   11,  39,  13,  2,   25,  3
  807, 3 269,         radical,        0,  2,  2,  4,   1,   8,   9,   2,   24,  1,   30,  28,  33,  8,   12,  40,  14,  3,   26,  4
  808, 2³ 101,        ,               1,  3,  3,  5,   2,   9,   10,  3,   25,  2,   31,  29,  34,  9,   13,  41,  15,  4,   27,  5
  809, 809,           prime,          2,  4,  4,  6,   3,   10,  11,  4,   26,  3,   32,  30,  35,  10,  14,  42,  16,  5,   28,  6
  810, 2 3⁴ 5,        ,               0,  0,  5,  7,   4,   11,  12,  5,   27,  4,   33,  31,  36,  11,  15,  43,  17,  6,   29,  7
  811, 811,           prime,          1,  1,  6,  8,   5,   12,  13,  6,   28,  5,   34,  32,  37,  12,  16,  44,  18,  7,   30,  8
  812, 2² 7 29,       ,               2,  2,  0,  9,   6,   13,  14,  7,   0,   6,   35,  33,  38,  13,  17,  45,  19,  8,   31,  9
  813, 3 271,         radical,        0,  3,  1,  10,  7,   14,  15,  8,   1,   7,   36,  34,  39,  14,  18,  46,  20,  9,   32,  10
  814, 2 11 37,       radical,        1,  4,  2,  0,   8,   15,  16,  9,   2,   8,   0,   35,  40,  15,  19,  47,  21,  10,  33,  11
  815, 5 163,         radical,        2,  0,  3,  1,   9,   16,  17,  10,  3,   9,   1,   36,  41,  16,  20,  48,  22,  11,  34,  12
  816, 2⁴ 3 17,       ,               0,  1,  4,  2,   10,  0,   18,  11,  4,   10,  2,   37,  42,  17,  21,  49,  23,  12,  35,  13
  817, 19 43,         radical,        1,  2,  5,  3,   11,  1,   0,   12,  5,   11,  3,   38,  0,   18,  22,  50,  24,  13,  36,  14
  818, 2 409,         radical,        2,  3,  6,  4,   12,  2,   1,   13,  6,   12,  4,   39,  1,   19,  23,  51,  25,  14,  37,  15
  819, 3² 7 13,       ,               0,  4,  0,  5,   0,   3,   2,   14,  7,   13,  5,   40,  2,   20,  24,  52,  26,  15,  38,  16
  820, 2² 5 41,       ,               1,  0,  1,  6,   1,   4,   3,   15,  8,   14,  6,   0,   3,   21,  25,  53,  27,  16,  39,  17
  821, 821,           prime,          2,  1,  2,  7,   2,   5,   4,   16,  9,   15,  7,   1,   4,   22,  26,  54,  28,  17,  40,  18
  822, 2 3 137,       radical,        0,  2,  3,  8,   3,   6,   5,   17,  10,  16,  8,   2,   5,   23,  27,  55,  29,  18,  41,  19
  823, 823,           prime,          1,  3,  4,  9,   4,   7,   6,   18,  11,  17,  9,   3,   6,   24,  28,  56,  30,  19,  42,  20
  824, 2³ 103,        ,               2,  4,  5,  10,  5,   8,   7,   19,  12,  18,  10,  4,   7,   25,  29,  57,  31,  20,  43,  21
  825, 3 5² 11,       ,               0,  0,  6,  0,   6,   9,   8,   20,  13,  19,  11,  5,   8,   26,  30,  58,  32,  21,  44,  22
  826, 2 7 59,        radical,        1,  1,  0,  1,   7,   10,  9,   21,  14,  20,  12,  6,   9,   27,  31,  0,   33,  22,  45,  23
  827, 827,           prime,          2,  2,  1,  2,   8,   11,  10,  22,  15,  21,  13,  7,   10,  28,  32,  1,   34,  23,  46,  24
  828, 2² 3² 23,      ,               0,  3,  2,  3,   9,   12,  11,  0,   16,  22,  14,  8,   11,  29,  33,  2,   35,  24,  47,  25
  829, 829,           prime,          1,  4,  3,  4,   10,  13,  12,  1,   17,  23,  15,  9,   12,  30,  34,  3,   36,  25,  48,  26
  830, 2 5 83,        radical,        2,  0,  4,  5,   11,  14,  13,  2,   18,  24,  16,  10,  13,  31,  35,  4,   37,  26,  49,  27
  831, 3 277,         radical,        0,  1,  5,  6,   12,  15,  14,  3,   19,  25,  17,  11,  14,  32,  36,  5,   38,  27,  50,  28
  832, 2⁶ 13,         ,               1,  2,  6,  7,   0,   16,  15,  4,   20,  26,  18,  12,  15,  33,  37,  6,   39,  28,  51,  29
  833, 7² 17,         ,               2,  3,  0,  8,   1,   0,   16,  5,   21,  27,  19,  13,  16,  34,  38,  7,   40,  29,  52,  30
  834, 2 3 139,       radical,        0,  4,  1,  9,   2,   1,   17,  6,   22,  28,  20,  14,  17,  35,  39,  8,   41,  30,  53,  31
  835, 5 167,         radical,        1,  0,  2,  10,  3,   2,   18,  7,   23,  29,  21,  15,  18,  36,  40,  9,   42,  31,  54,  32
  836, 2² 11 19,      ,               2,  1,  3,  0,   4,   3,   0,   8,   24,  30,  22,  16,  19,  37,  41,  10,  43,  32,  55,  33
  837, 3³ 31,         ,               0,  2,  4,  1,   5,   4,   1,   9,   25,  0,   23,  17,  20,  38,  42,  11,  44,  33,  56,  34
  838, 2 419,         radical,        1,  3,  5,  2,   6,   5,   2,   10,  26,  1,   24,  18,  21,  39,  43,  12,  45,  34,  57,  35
  839, 839,           prime,          2,  4,  6,  3,   7,   6,   3,   11,  27,  2,   25,  19,  22,  40,  44,  13,  46,  35,  58,  36
  840, 2³ 3 5 7,      ,               0,  0,  0,  4,   8,   7,   4,   12,  28,  3,   26,  20,  23,  41,  45,  14,  47,  36,  59,  37
  841, 29²,           prime power,    1,  1,  1,  5,   9,   8,   5,   13,  0,   4,   27,  21,  24,  42,  46,  15,  48,  37,  60,  38
  842, 2 421,         radical,        2,  2,  2,  6,   10,  9,   6,   14,  1,   5,   28,  22,  25,  43,  47,  16,  49,  38,  61,  39
  843, 3 281,         radical,        0,  3,  3,  7,   11,  10,  7,   15,  2,   6,   29,  23,  26,  44,  48,  17,  50,  39,  62,  40
  844, 2² 211,        ,               1,  4,  4,  8,   12,  11,  8,   16,  3,   7,   30,  24,  27,  45,  49,  18,  51,  40,  63,  41
  845, 5 13²,         ,               2,  0,  5,  9,   0,   12,  9,   17,  4,   8,   31,  25,  28,  46,  50,  19,  52,  41,  64,  42
  846, 2 3² 47,       ,               0,  1,  6,  10,  1,   13,  10,  18,  5,   9,   32,  26,  29,  0,   51,  20,  53,  42,  65,  43
  847, 7 11²,         ,               1,  2,  0,  0,   2,   14,  11,  19,  6,   10,  33,  27,  30,  1,   52,  21,  54,  43,  66,  44
  848, 2⁴ 53,         ,               2,  3,  1,  1,   3,   15,  12,  20,  7,   11,  34,  28,  31,  2,   0,   22,  55,  44,  67,  45
  849, 3 283,         radical,        0,  4,  2,  2,   4,   16,  13,  21,  8,   12,  35,  29,  32,  3,   1,   23,  56,  45,  68,  46
  850, 2 5² 17,       ,               1,  0,  3,  3,   5,   0,   14,  22,  9,   13,  36,  30,  33,  4,   2,   24,  57,  46,  69,  47
  851, 23 37,         radical,        2,  1,  4,  4,   6,   1,   15,  0,   10,  14,  0,   31,  34,  5,   3,   25,  58,  47,  70,  48
  852, 2² 3 71,       ,               0,  2,  5,  5,   7,   2,   16,  1,   11,  15,  1,   32,  35,  6,   4,   26,  59,  48,  0,   49
  853, 853,           prime,          1,  3,  6,  6,   8,   3,   17,  2,   12,  16,  2,   33,  36,  7,   5,   27,  60,  49,  1,   50
  854, 2 7 61,        radical,        2,  4,  0,  7,   9,   4,   18,  3,   13,  17,  3,   34,  37,  8,   6,   28,  0,   50,  2,   51
  855, 3² 5 19,       ,               0,  0,  1,  8,   10,  5,   0,   4,   14,  18,  4,   35,  38,  9,   7,   29,  1,   51,  3,   52
  856, 2³ 107,        ,               1,  1,  2,  9,   11,  6,   1,   5,   15,  19,  5,   36,  39,  10,  8,   30,  2,   52,  4,   53
  857, 857,           prime,          2,  2,  3,  10,  12,  7,   2,   6,   16,  20,  6,   37,  40,  11,  9,   31,  3,   53,  5,   54
  858, 2 3 11 13,     radical,        0,  3,  4,  0,   0,   8,   3,   7,   17,  21,  7,   38,  41,  12,  10,  32,  4,   54,  6,   55
  859, 859,           prime,          1,  4,  5,  1,   1,   9,   4,   8,   18,  22,  8,   39,  42,  13,  11,  33,  5,   55,  7,   56
  860, 2² 5 43,       ,               2,  0,  6,  2,   2,   10,  5,   9,   19,  23,  9,   40,  0,   14,  12,  34,  6,   56,  8,   57
  861, 3 7 41,        radical,        0,  1,  0,  3,   3,   11,  6,   10,  20,  24,  10,  0,   1,   15,  13,  35,  7,   57,  9,   58
  862, 2 431,         radical,        1,  2,  1,  4,   4,   12,  7,   11,  21,  25,  11,  1,   2,   16,  14,  36,  8,   58,  10,  59
  863, 863,           prime,          2,  3,  2,  5,   5,   13,  8,   12,  22,  26,  12,  2,   3,   17,  15,  37,  9,   59,  11,  60
  864, 2⁵ 3³,         ,               0,  4,  3,  6,   6,   14,  9,   13,  23,  27,  13,  3,   4,   18,  16,  38,  10,  60,  12,  61
  865, 5 173,         radical,        1,  0,  4,  7,   7,   15,  10,  14,  24,  28,  14,  4,   5,   19,  17,  39,  11,  61,  13,  62
  866, 2 433,         radical,        2,  1,  5,  8,   8,   16,  11,  15,  25,  29,  15,  5,   6,   20,  18,  40,  12,  62,  14,  63
  867, 3 17²,         ,               0,  2,  6,  9,   9,   0,   12,  16,  26,  30,  16,  6,   7,   21,  19,  41,  13,  63,  15,  64
  868, 2² 7 31,       ,               1,  3,  0,  10,  10,  1,   13,  17,  27,  0,   17,  7,   8,   22,  20,  42,  14,  64,  16,  65
  869, 11 79,         radical,        2,  4,  1,  0,   11,  2,   14,  18,  28,  1,   18,  8,   9,   23,  21,  43,  15,  65,  17,  66
  870, 2 3 5 29,      radical,        0,  0,  2,  1,   12,  3,   15,  19,  0,   2,   19,  9,   10,  24,  22,  44,  16,  66,  18,  67
  871, 13 67,         radical,        1,  1,  3,  2,   0,   4,   16,  20,  1,   3,   20,  10,  11,  25,  23,  45,  17,  0,   19,  68
  872, 2³ 109,        ,               2,  2,  4,  3,   1,   5,   17,  21,  2,   4,   21,  11,  12,  26,  24,  46,  18,  1,   20,  69
  873, 3² 97,         ,               0,  3,  5,  4,   2,   6,   18,  22,  3,   5,   22,  12,  13,  27,  25,  47,  19,  2,   21,  70
  874, 2 19 23,       radical,        1,  4,  6,  5,   3,   7,   0,   0,   4,   6,   23,  13,  14,  28,  26,  48,  20,  3,   22,  71
  875, 5³ 7,          ,               2,  0,  0,  6,   4,   8,   1,   1,   5,   7,   24,  14,  15,  29,  27,  49,  21,  4,   23,  72
  876, 2² 3 73,       ,               0,  1,  1,  7,   5,   9,   2,   2,   6,   8,   25,  15,  16,  30,  28,  50,  22,  5,   24,  0
  877, 877,           prime,          1,  2,  2,  8,   6,   10,  3,   3,   7,   9,   26,  16,  17,  31,  29,  51,  23,  6,   25,  1
  878, 2 439,         radical,        2,  3,  3,  9,   7,   11,  4,   4,   8,   10,  27,  17,  18,  32,  30,  52,  24,  7,   26,  2
  879, 3 293,         radical,        0,  4,  4,  10,  8,   12,  5,   5,   9,   11,  28,  18,  19,  33,  31,  53,  25,  8,   27,  3
  880, 2⁴ 5 11,       ,               1,  0,  5,  0,   9,   13,  6,   6,   10,  12,  29,  19,  20,  34,  32,  54,  26,  9,   28,  4
  881, 881,           prime,          2,  1,  6,  1,   10,  14,  7,   7,   11,  13,  30,  20,  21,  35,  33,  55,  27,  10,  29,  5
  882, 2 3² 7²,       ,               0,  2,  0,  2,   11,  15,  8,   8,   12,  14,  31,  21,  22,  36,  34,  56,  28,  11,  30,  6
  883, 883,           prime,          1,  3,  1,  3,   12,  16,  9,   9,   13,  15,  32,  22,  23,  37,  35,  57,  29,  12,  31,  7
  884, 2² 13 17,      ,               2,  4,  2,  4,   0,   0,   10,  10,  14,  16,  33,  23,  24,  38,  36,  58,  30,  13,  32,  8
  885, 3 5 59,        radical,        0,  0,  3,  5,   1,   1,   11,  11,  15,  17,  34,  24,  25,  39,  37,  0,   31,  14,  33,  9
  886, 2 443,         radical,        1,  1,  4,  6,   2,   2,   12,  12,  16,  18,  35,  25,  26,  40,  38,  1,   32,  15,  34,  10
  887, 887,           prime,          2,  2,  5,  7,   3,   3,   13,  13,  17,  19,  36,  26,  27,  41,  39,  2,   33,  16,  35,  11
  888, 2³ 3 37,       ,               0,  3,  6,  8,   4,   4,   14,  14,  18,  20,  0,   27,  28,  42,  40,  3,   34,  17,  36,  12
  889, 7 127,         radical,        1,  4,  0,  9,   5,   5,   15,  15,  19,  21,  1,   28,  29,  43,  41,  4,   35,  18,  37,  13
  890, 2 5 89,        radical,        2,  0,  1,  10,  6,   6,   16,  16,  20,  22,  2,   29,  30,  44,  42,  5,   36,  19,  38,  14
  891, 3⁴ 11,         ,               0,  1,  2,  0,   7,   7,   17,  17,  21,  23,  3,   30,  31,  45,  43,  6,   37,  20,  39,  15
  892, 2² 223,        ,               1,  2,  3,  1,   8,   8,   18,  18,  22,  24,  4,   31,  32,  46,  44,  7,   38,  21,  40,  16
  893, 19 47,         radical,        2,  3,  4,  2,   9,   9,   0,   19,  23,  25,  5,   32,  33,  0,   45,  8,   39,  22,  41,  17
  894, 2 3 149,       radical,        0,  4,  5,  3,   10,  10,  1,   20,  24,  26,  6,   33,  34,  1,   46,  9,   40,  23,  42,  18
  895, 5 179,         radical,        1,  0,  6,  4,   11,  11,  2,   21,  25,  27,  7,   34,  35,  2,   47,  10,  41,  24,  43,  19
  896, 2⁷ 7,          ,               2,  1,  0,  5,   12,  12,  3,   22,  26,  28,  8,   35,  36,  3,   48,  11,  42,  25,  44,  20
  897, 3 13 23,       radical,        0,  2,  1,  6,   0,   13,  4,   0,   27,  29,  9,   36,  37,  4,   49,  12,  43,  26,  45,  21
  898, 2 449,         radical,        1,  3,  2,  7,   1,   14,  5,   1,   28,  30,  10,  37,  38,  5,   50,  13,  44,  27,  46,  22
  899, 29 31,         radical,        2,  4,  3,  8,   2,   15,  6,   2,   0,   0,   11,  38,  39,  6,   51,  14,  45,  28,  47,  23
  900, 2² 3² 5²,      radical power,  0,  0,  4,  9,   3,   16,  7,   3,   1,   1,   12,  39,  40,  7,   52,  15,  46,  29,  48,  24
  901, 17 53,         radical,        1,  1,  5,  10,  4,   0,   8,   4,   2,   2,   13,  40,  41,  8,   0,   16,  47,  30,  49,  25
  902, 2 11 41,       radical,        2,  2,  6,  0,   5,   1,   9,   5,   3,   3,   14,  0,   42,  9,   1,   17,  48,  31,  50,  26
  903, 3 7 43,        radical,        0,  3,  0,  1,   6,   2,   10,  6,   4,   4,   15,  1,   0,   10,  2,   18,  49,  32,  51,  27
  904, 2³ 113,        ,               1,  4,  1,  2,   7,   3,   11,  7,   5,   5,   16,  2,   1,   11,  3,   19,  50,  33,  52,  28
  905, 5 181,         radical,        2,  0,  2,  3,   8,   4,   12,  8,   6,   6,   17,  3,   2,   12,  4,   20,  51,  34,  53,  29
  906, 2 3 151,       radical,        0,  1,  3,  4,   9,   5,   13,  9,   7,   7,   18,  4,   3,   13,  5,   21,  52,  35,  54,  30
  907, 907,           prime,          1,  2,  4,  5,   10,  6,   14,  10,  8,   8,   19,  5,   4,   14,  6,   22,  53,  36,  55,  31
  908, 2² 227,        ,               2,  3,  5,  6,   11,  7,   15,  11,  9,   9,   20,  6,   5,   15,  7,   23,  54,  37,  56,  32
  909, 3² 101,        ,               0,  4,  6,  7,   12,  8,   16,  12,  10,  10,  21,  7,   6,   16,  8,   24,  55,  38,  57,  33
  910, 2 5 7 13,      radical,        1,  0,  0,  8,   0,   9,   17,  13,  11,  11,  22,  8,   7,   17,  9,   25,  56,  39,  58,  34
  911, 911,           prime,          2,  1,  1,  9,   1,   10,  18,  14,  12,  12,  23,  9,   8,   18,  10,  26,  57,  40,  59,  35
  912, 2⁴ 3 19,       ,               0,  2,  2,  10,  2,   11,  0,   15,  13,  13,  24,  10,  9,   19,  11,  27,  58,  41,  60,  36
  913, 11 83,         radical,        1,  3,  3,  0,   3,   12,  1,   16,  14,  14,  25,  11,  10,  20,  12,  28,  59,  42,  61,  37
  914, 2 457,         radical,        2,  4,  4,  1,   4,   13,  2,   17,  15,  15,  26,  12,  11,  21,  13,  29,  60,  43,  62,  38
  915, 3 5 61,        radical,        0,  0,  5,  2,   5,   14,  3,   18,  16,  16,  27,  13,  12,  22,  14,  30,  0,   44,  63,  39
  916, 2² 229,        ,               1,  1,  6,  3,   6,   15,  4,   19,  17,  17,  28,  14,  13,  23,  15,  31,  1,   45,  64,  40
  917, 7 131,         radical,        2,  2,  0,  4,   7,   16,  5,   20,  18,  18,  29,  15,  14,  24,  16,  32,  2,   46,  65,  41
  918, 2 3³ 17,       ,               0,  3,  1,  5,   8,   0,   6,   21,  19,  19,  30,  16,  15,  25,  17,  33,  3,   47,  66,  42
  919, 919,           prime,          1,  4,  2,  6,   9,   1,   7,   22,  20,  20,  31,  17,  16,  26,  18,  34,  4,   48,  67,  43
  920, 2³ 5 23,       ,               2,  0,  3,  7,   10,  2,   8,   0,   21,  21,  32,  18,  17,  27,  19,  35,  5,   49,  68,  44
  921, 3 307,         radical,        0,  1,  4,  8,   11,  3,   9,   1,   22,  22,  33,  19,  18,  28,  20,  36,  6,   50,  69,  45
  922, 2 461,         radical,        1,  2,  5,  9,   12,  4,   10,  2,   23,  23,  34,  20,  19,  29,  21,  37,  7,   51,  70,  46
  923, 13 71,         radical,        2,  3,  6,  10,  0,   5,   11,  3,   24,  24,  35,  21,  20,  30,  22,  38,  8,   52,  0,   47
  924, 2² 3 7 11,     ,               0,  4,  0,  0,   1,   6,   12,  4,   25,  25,  36,  22,  21,  31,  23,  39,  9,   53,  1,   48
  925, 5² 37,         ,               1,  0,  1,  1,   2,   7,   13,  5,   26,  26,  0,   23,  22,  32,  24,  40,  10,  54,  2,   49
  926, 2 463,         radical,        2,  1,  2,  2,   3,   8,   14,  6,   27,  27,  1,   24,  23,  33,  25,  41,  11,  55,  3,   50
  927, 3² 103,        ,               0,  2,  3,  3,   4,   9,   15,  7,   28,  28,  2,   25,  24,  34,  26,  42,  12,  56,  4,   51
  928, 2⁵ 29,         ,               1,  3,  4,  4,   5,   10,  16,  8,   0,   29,  3,   26,  25,  35,  27,  43,  13,  57,  5,   52
  929, 929,           prime,          2,  4,  5,  5,   6,   11,  17,  9,   1,   30,  4,   27,  26,  36,  28,  44,  14,  58,  6,   53
  930, 2 3 5 31,      radical,        0,  0,  6,  6,   7,   12,  18,  10,  2,   0,   5,   28,  27,  37,  29,  45,  15,  59,  7,   54
  931, 7² 19,         ,               1,  1,  0,  7,   8,   13,  0,   11,  3,   1,   6,   29,  28,  38,  30,  46,  16,  60,  8,   55
  932, 2² 233,        ,               2,  2,  1,  8,   9,   14,  1,   12,  4,   2,   7,   30,  29,  39,  31,  47,  17,  61,  9,   56
  933, 3 311,         radical,        0,  3,  2,  9,   10,  15,  2,   13,  5,   3,   8,   31,  30,  40,  32,  48,  18,  62,  10,  57
