# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
   59, 59,            prime,          2,  4,  3,  4,   7,   8,   2,   13,  1,   28,  22,  18,  16,  12,  6,   0,   59,  59,  59,  59
   60, 2² 3 5,        ,               0,  0,  4,  5,   8,   9,   3,   14,  2,   29,  23,  19,  17,  13,  7,   1,   60,  60,  60,  60
   61, 61,            prime,          1,  1,  5,  6,   9,   10,  4,   15,  3,   30,  24,  20,  18,  14,  8,   2,   0,   61,  61,  61
   62, 2 31,          radical,        2,  2,  6,  7,   10,  11,  5,   16,  4,   0,   25,  21,  19,  15,  9,   3,   1,   62,  62,  62
   63, 3² 7,          ,               0,  3,  0,  8,   11,  12,  6,   17,  5,   1,   26,  22,  20,  16,  10,  4,   2,   63,  63,  63
   64, 2⁶,            prime power,    1,  4,  1,  9,   12,  13,  7,   18,  6,   2,   27,  23,  21,  17,  11,  5,   3,   64,  64,  64
   65, 5 13,          radical,        2,  0,  2,  10,  0,   14,  8,   19,  7,   3,   28,  24,  22,  18,  12,  6,   4,   65,  65,  65
   66, 2 3 11,        radical,        0,  1,  3,  0,   1,   15,  9,   20,  8,   4,   29,  25,  23,  19,  13,  7,   5,   66,  66,  66
   67, 67,            prime,          1,  2,  4,  1,   2,   16,  10,  21,  9,   5,   30,  26,  24,  20,  14,  8,   6,   0,   67,  67
   68, 2² 17,         ,               2,  3,  5,  2,   3,   0,   11,  22,  10,  6,   31,  27,  25,  21,  15,  9,   7,   1,   68,  68
   69, 3 23,          radical,        0,  4,  6,  3,   4,   1,   12,  0,   11,  7,   32,  28,  26,  22,  16,  10,  8,   2,   69,  69
   70, 2 5 7,         radical,        1,  0,  0,  4,   5,   2,   13,  1,   12,  8,   33,  29,  27,  23,  17,  11,  9,   3,   70,  70
   71, 71,            prime,          2,  1,  1,  5,   6,   3,   14,  2,   13,  9,   34,  30,  28,  24,  18,  12,  10,  4,   0,   71
   72, 2³ 3²,         ,               0,  2,  2,  6,   7,   4,   15,  3,   14,  10,  35,  31,  29,  25,  19,  13,  11,  5,   1,   72
   73, 73,            prime,          1,  3,  3,  7,   8,   5,   16,  4,   15,  11,  36,  32,  30,  26,  20,  14,  12,  6,   2,   0
   74, 2 37,          radical,        2,  4,  4,  8,   9,   6,   17,  5,   16,  12,  0,   33,  31,  27,  21,  15,  13,  7,   3,   1
   75, 3 5²,          ,               0,  0,  5,  9,   10,  7,   18,  6,   17,  13,  1,   34,  32,  28,  22,  16,  14,  8,   4,   2
   76, 2² 19,         ,               1,  1,  6,  10,  11,  8,   0,   7,   18,  14,  2,   35,  33,  29,  23,  17,  15,  9,   5,   3
   77, 7 11,          radical,        2,  2,  0,  0,   12,  9,   1,   8,   19,  15,  3,   36,  34,  30,  24,  18,  16,  10,  6,   4
   78, 2 3 13,        radical,        0,  3,  1,  1,   0,   10,  2,   9,   20,  16,  4,   37,  35,  31,  25,  19,  17,  11,  7,   5
   79, 79,            prime,          1,  4,  2,  2,   1,   11,  3,   10,  21,  17,  5,   38,  36,  32,  26,  20,  18,  12,  8,   6
   80, 2⁴ 5,          ,               2,  0,  3,  3,   2,   12,  4,   11,  22,  18,  6,   39,  37,  33,  27,  21,  19,  13,  9,   7
   81, 3⁴,            prime power,    0,  1,  4,  4,   3,   13,  5,   12,  23,  19,  7,   40,  38,  34,  28,  22,  20,  14,  10,  8
   82, 2 41,          radical,        1,  2,  5,  5,   4,   14,  6,   13,  24,  20,  8,   0,   39,  35,  29,  23,  21,  15,  11,  9
   83, 83,            prime,          2,  3,  6,  6,   5,   15,  7,   14,  25,  21,  9,   1,   40,  36,  30,  24,  22,  16,  12,  10
   84, 2² 3 7,        ,               0,  4,  0,  7,   6,   16,  8,   15,  26,  22,  10,  2,   41,  37,  31,  25,  23,  17,  13,  11
   85, 5 17,          radical,        1,  0,  1,  8,   7,   0,   9,   16,  27,  23,  11,  3,   42,  38,  32,  26,  24,  18,  14,  12
   86, 2 43,          radical,        2,  1,  2,  9,   8,   1,   10,  17,  28,  24,  12,  4,   0,   39,  33,  27,  25,  19,  15,  13
   87, 3 29,          radical,        0,  2,  3,  10,  9,   2,   11,  18,  0,   25,  13,  5,   1,   40,  34,  28,  26,  20,  16,  14
