# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
568,    2³ 71,         [45],                        
569,    569,           [48 78 90],                  prime twin
570,    2 3 5 19,      [1 7 23 29 47 49 61 71],     radical
571,    571,           [30 48 72],                  prime twin
572,    2² 11 13,      [15 69 81],                  
573,    3 191,         [4 26 70 74 86],             radical
574,    2 7 41,        [3 27 33 87],                radical
575,    5² 23,         [12 18 66 72 84],            
576,    2⁶ 3²,         [55 67 77 85 97],            
577,    577,           [30 36 54],                  prime
578,    2 17²,         [9 15 21 69 75 99],          
579,    3 193,         [8 22 38 80],                radical
580,    2² 5 29,       [33 39 81 93],               
581,    7 83,          [12 18 60 72 78],            radical
582,    2 3 97,        [5 11 19 25 35 59 61 79],    radical
583,    11 53,         [36 60],                     radical
584,    2³ 73,         [15 63 75 93],               
585,    3² 5 13,       [8 14 16 22 28 62 76 98],    
586,    2 293,         [15 45 87],                  radical
587,    587,           [30 66 96],                  prime
588,    2² 3 7²,       [11 19 25 31 65 85 89],      
589,    19 31,         [12 18 42],                  radical
590,    2 5 59,        [3 27 69 87],                radical
591,    3 197,         [22 28 50 68 70 82 92 100],  radical
592,    2⁴ 37,         [15 21 51 69],               
593,    593,           [6 24 84 90],                prime
594,    2 3³ 11,       [7 23 25 37 47 53],          
595,    5 7 17,        [18 24 48 96],               radical
596,    2² 149,        [3 87],                      
597,    3 199,         [4 10 20 34 50 56 76 94],    radical
598,    2 13 23,       [21 75],                     radical
599,    599,           [42 78],                     prime twin
600,    2³ 3 5²,       [1 7 13 31 43 53 59 77],     
601,    601,           [30 60],                     prime twin
602,    2 7 43,        [15 39 45 81 99],            radical
603,    3² 67,         [4 10 16 40 56 80],          
604,    2² 151,        [3 27 57],                   
605,    5 11²,         [12 36 42 48 96],            
606,    2 3 101,       [7 13 35 37 85],             radical
607,    607,           [6 36 66 84],                prime
608,    2⁵ 19,         [9 39 45 51],                
609,    3 7 29,        [8 10 22 32 38 52 68 100],   radical
610,    2 5 61,        [3 9 33 63],                 radical
611,    13 47,         [42 48 90],                  radical
612,    2² 3² 17,      [5 19 35 41 49 65 71 89],    
613,    613,           [6],                         prime
614,    2 307,         [27 45],                     radical
615,    3 5 41,        [2 16 28 38 44 46 58 68],    radical
616,    2³ 7 11,       [3 15 45 75 93],             
617,    617,           [24 30 60],                  prime twin
618,    2 3 103,       [1 25 41 55],                radical
619,    619,           [12 42 72],                  prime twin
620,    2² 5 31,       [21 27 33 57 63 99],         
621,    3³ 23,         [20 22 52 80 98],            
622,    2 311,         [9 21 51],                   radical
623,    7 89,          [24 30 36 54 60],            radical
624,    2⁴ 3 13,       [7 17 23 37 53 67 77],       
625,    5⁴,            [6 18 48 84],                prime power
626,    2 313,         [27 33 57],                  radical
627,    3 11 19,       [14 20 26 34 50 56 64],      radical
628,    2² 157,        [15 81],                     
629,    17 37,         [12 30 72],                  radical
630,    2 3² 5 7,      [11 13 17 23 29 31 43 53],   
631,    631,           [12 30 60],                  prime
632,    2³ 79,         [15 45 69],                  
633,    3 211,         [14 20 26 40 76 86],         radical
634,    2 317,         [27 57 93],                  radical
635,    5 127,         [18 42 48 66],               radical
636,    2² 3 53,       [5 17 23 37 65 73],          
637,    7² 13,         [6 24 36 90 96],             
638,    2 11 29,       [21 39 45 81],               radical
639,    3² 71,         [8 20 22 38 52 62 70],       
640,    2⁷ 5,          [21 33 69 93 99],            
641,    641,           [42 78],                     prime twin
642,    2 3 107,       [1 11 35 41 49 85],          radical
643,    643,           [30 66 96],                  prime twin
644,    2² 7 23,       [3 57 75],                   
645,    3 5 43,        [2 14 28 32 38 46 74 82],    radical
646,    2 17 19,       [15 27 45],                  radical
647,    647,           [6 30 54],                   prime
648,    2³ 3⁴,         [5 29 35 61 71 79 85 91],    
649,    11 59,         [42 78],                     radical
650,    2 5² 13,       [3 9 33 51 93],              
651,    3 7 31,        [8 10 32 50 58 82 88],       radical
652,    2² 163,        [9 21 39 75 81],             
653,    653,           [6 66 90],                   prime
654,    2 3 109,       [7 23 37 47 55 85 97],       radical
655,    5 131,         [36 54 78 84],               radical
656,    2⁴ 41,         [3 63 87],                   
657,    3² 73,         [4 16 26 44 70 86 94 100],   
658,    2 7 47,        [15 51 81],                  radical
659,    659,           [18 42 60],                  prime twin
660,    2² 3 5 11,     [1 13 17 41 59 67 73 83],    
661,    661,           [30 48 90],                  prime twin
662,    2 331,         [15 21 99],                  radical
663,    3 13 17,       [10 20 46 56 64 70 76 94],   radical
664,    2³ 83,         [45 63 87 93],               
665,    5 7 19,        [12 18 78 96],               radical
666,    2 3² 37,       [7 25 35 53 67 73 95],       
667,    23 29,         [6 24 60 66 90],             radical
668,    2² 167,        [9 15 51 75],                
669,    3 223,         [8 22 50 70 82 92 100],      radical
670,    2 5 67,        [39 57 63 69 99],            radical
671,    11 61,         [12 30 72],                  radical
672,    2⁵ 3 7,        [11 19 29 55 71 79 85],      
673,    673,           [54 60 66 96],               prime
674,    2 337,         [27 87],                     radical
675,    3³ 5²,         [2 16 34 44 58 68 76 82],    
676,    2² 13²,        [15 33 57 63 75],            radical power
677,    677,           [24 84],                     prime
678,    2 3 113,       [5 31 61 65 79 91],          radical
679,    7 97,          [48 60 72 78],               radical
680,    2³ 5 17,       [3 21 39 63 81 93],          
681,    3 227,         [20 28 38 62 80 88],         radical
682,    2 11 31,       [9 51 69 75],                radical
683,    683,           [36 90],                     prime
684,    2² 3² 19,      [7 25 43 67 77 85],          
685,    5 137,         [24 42 54 66 72 84],         radical
686,    2 7³,          [33 87],                     
687,    3 229,         [4 14 40 46 56 70 74 86],    radical
688,    2⁴ 43,         [45 69 81],                  
689,    13 53,         [12 30 72],                  radical
690,    2 3 5 23,      [29 37 43 49 71 83 97],      radical
691,    691,           [18 48 60 78],               prime
692,    2² 173,        [9 51],                      
693,    3² 7 11,       [16 34 40 46 50 76 80 94],   
694,    2 347,         [33 63 75 93],               radical
695,    5 139,         [48 78],                     radical
696,    2³ 3 29,       [5 13 23 37 43 55 65 77],    
697,    17 41,         [36 54 90],                  radical
698,    2 349,         [21 45 99],                  radical
699,    3 233,         [40 52 58 98],               radical
700,    2² 5² 7,       [9 27 39 57 69 87],          
701,    701,           [18 42 60],                  prime
702,    2 3³ 13,       [25 41 49 55 59 71 85 95],   
703,    19 37,         [30 84],                     radical
704,    2⁶ 11,         [57],                        
705,    3 5 47,        [4 14 22 28 46 52 64 92],    radical
706,    2 353,         [33 45 63],                  radical
707,    7 101,         [54 66 90],                  radical
708,    2² 3 59,       [25 31 35 49 61 65 89],      
709,    709,           [18 48 78],                  prime
710,    2 5 71,        [9 33 51 63],                radical
711,    3² 79,         [28 50 58 98],               
712,    2³ 89,         [21 39 99],                  
713,    23 31,         [30 60 96],                  radical
714,    2 3 7 17,      [5 13 37 55 73 83 95 97],    radical
715,    5 11 13,       [24 42 54 72 96],            radical
716,    2² 179,        [57],                        
717,    3 239,         [16 26 34 40 44 56 70],      radical
718,    2 359,         [9],                         radical
719,    719,           [42 78],                     prime
720,    2⁴ 3² 5,       [19 37 67 77 89],            
721,    7 103,         [12 30 48 90],               radical
722,    2 19²,         [21 39 75],                  
723,    3 241,         [4 46 50 64],                radical
724,    2² 181,        [15 33 63],                  
725,    5² 29,         [48 72 84],                  
726,    2 3 11²,       [7 17 25 35 43 83 85 95],    
727,    727,           [84 96],                     prime
728,    2³ 7 13,       [45 69 81],                  
729,    3⁶,            [10 28 68 82 98],            prime power
730,    2 5 73,        [3 21 39 57 99],             radical
731,    17 43,         [12 30 78 90],               radical
732,    2² 3 61,       [41 55 79 89 91],            
733,    733,           [6 24 90],                   prime
734,    2 367,         [75 87 93],                  radical
735,    3 5 7²,        [8 16 26 34 52 62 74 76],    
736,    2⁵ 23,         [3 75 93],                   
737,    11 67,         [36 60 84 90],               radical
738,    2 3² 41,       [5 19 85 91],                
739,    739,           [12 30 48],                  prime
740,    2² 5 37,       [21 57 81 87 99],            
741,    3 13 19,       [2 32 68 80 82 88 98],       radical
742,    2 7 53,        [9 15 69 81],                radical
743,    743,           [66 84 96],                  prime
744,    2³ 3 31,       [17 25 43 53 67 83 85],      
745,    5 149,         [6 12 84],                   radical
746,    2 373,         [27 63 93],                  radical
747,    3² 83,         [4 14 64 74],                
748,    2² 11 17,      [9 21 39 75],                
749,    7 107,         [48 72 90],                  radical
750,    2 3 5³,        [7 11 23 59 73 77 89],       
751,    751,           [18 60 78],                  prime
752,    2⁴ 47,         [9 69 75],                   
753,    3 251,         [20 34 44 70 76 100],        radical
754,    2 13 29,       [3 15],                      radical
755,    5 151,         [54 72],                     radical
756,    2² 3³ 7,       [5 13 17 55 65 73 83 97],    
757,    757,           [30 66 96],                  prime
758,    2 379,         [15 39 81 99],               radical
759,    3 11 23,       [2 50 68 98 100],            radical
760,    2³ 5 19,       [9 27 51 69 99],             
761,    761,           [60 78],                     prime
762,    2 3 127,       [11 35 61],                  radical
763,    7 109,         [6 24 90],                   radical
764,    2² 191,        [45 63],                     
765,    3² 5 17,       [4 8 22 32 46 56 64 74],     
766,    2 383,         [57 93],                     radical
767,    13 59,         [6 90],                      radical
768,    2⁸ 3,          [29 41 59 85 91 95],         
769,    769,           [18 42 60],                  prime
770,    2 5 7 11,      [27 51 69 87 93],            radical
771,    3 257,         [2 38 52 88],                radical
772,    2² 193,        [15 39 81],                  
773,    773,           [54 90],                     prime
