# Orbit of 6171

This is well studied Collatz sequence 6171, given in odd-to-odd Collatz order.
Every n is represented by a group of 7 lines that forms a small tree, with n in the center.
The "children" of n are defined as the 2-adic odd cores of its even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this hierarchy is shown.

## Collatz orbit of 6171
oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71
38057,1,71,1221012112,1001010010101001,2,2,5,8,6,11,0,15,9,20,21,9,2,34,3,2,54,1,1 # oc(76115-1)
19029,1,25,222002210,100101001010101,0,4,3,10,10,6,10,8,5,26,11,5,23,41,2,31,58,1,1 # oc(oc(76115-1)+1)
76115,0,71,10212102002,10010100101010011,2,0,4,6,0,6,1,8,19,10,6,19,5,22,7,5,48,3,3 # 76115 -> 114173
4757,2,25,20112012,1001010010101,2,2,4,5,12,14,7,19,1,14,21,1,27,10,40,37,60,0,0 # oc(oc(76115+1)-1)
19029,2,25,222002210,100101001010101,0,4,3,10,10,6,10,8,5,26,11,5,23,41,2,31,58,1,1 # oc(76115+1)
9515,1,15,111001102,10010100101011,2,0,2,0,12,12,15,16,3,29,6,3,12,21,28,16,60,1,1 # oc(oc(76115+1)+1)

14271,1,70,201120120,11011110111111,0,1,5,4,10,8,2,11,3,11,26,3,38,30,14,52,58,0,0 # oc(oc(114173-1)-1)
28543,2,70,1110011011,110111101111111,1,3,4,9,8,0,5,0,7,23,16,7,34,14,29,46,56,1,1 # oc(114173-1)
223,7,24,22021,11011111,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10 # oc(oc(114173-1)+1)
114173,0,70,12210121122,11011110111111101,2,3,3,4,7,1,2,1,0,0,28,29,8,10,11,8,42,5,5 # 114173 -> 42815
28543,1,70,1110011011,110111101111111,1,3,4,9,8,0,5,0,7,23,16,7,34,14,29,46,56,1,1 # oc(oc(114173+1)-1)
57087,1,36,2220022100,1101111011111111,0,2,2,8,4,1,11,1,15,16,33,15,26,29,6,34,52,3,3 # oc(114173+1)
223,8,24,22021,11011111,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10 # oc(oc(114173+1)+1)

