# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,     n,        nl,        nr,           base2, factors
  51,  7797,  (1949 2),  (3899 1),   1111001110101, {3 23 113}
  51,  7799,  (3899 1),   (975 3),   1111001110111, {11 709}
  51,  7801,   (975 3),  (3901 1),   1111001111001, {29 269}
  51,  7803,  (3901 1),  (1951 2),   1111001111011, {3 17}
  51,  7809,    (61 7),  (3905 1),   1111010000001, {3 19 137}
  51,  7825,   (489 4),  (3913 1),   1111010010001, {5 313}
  51,  7827,  (3913 1),  (1957 2),   1111010010011, {3 2609}
  51,  7861,  (1965 2),  (3931 1),   1111010110101, {7 1123}
  51,  7873,   (123 6),  (3937 1),   1111011000001, {7873}
  51,  7879,  (3939 1),   (985 3),   1111011000111, {7879}
  51,  7881,   (985 3),  (3941 1),   1111011001001, {3 37 71}
  51,  7909,  (1977 2),  (3955 1),   1111011100101, {11 719}
  51,  7917,  (1979 2),  (3959 1),   1111011101101, {3 7 13 29}
  51,  7929,   (991 3),  (3965 1),   1111011111001, {3 881}
  51,  7939,  (3969 1),  (1985 2),   1111100000011, {17 467}
  51,  7943,  (3971 1),   (993 3),   1111100000111, {13 47}
  51,  7955,  (3977 1),  (1989 2),   1111100010011, {5 37 43}
  51,  7961,   (995 3),  (3981 1),   1111100011001, {19 419}
  51,  7975,  (3987 1),   (997 3),   1111100100111, {5 11 29}
  51,  8013,  (2003 2),  (4007 1),   1111101001101, {3 2671}
  51,  8017,   (501 4),  (4009 1),   1111101010001, {8017}
  51,  8079,  (4039 1),   (505 4),   1111110001111, {3 2693}
  51,  8081,   (505 4),  (4041 1),   1111110010001, {8081}
  51,  8083,  (4041 1),  (2021 2),   1111110010011, {59 137}
  51,  8175,  (4087 1),   (511 4),   1111111101111, {3 5 109}
  51,  8233,  (1029 3),  (4117 1),  10000000101001, {8233}
  52,   327,   (163 1),    (41 3),       101000111, {3 109}
  52,   649,    (81 3),   (325 1),      1010001001, {11 59}
  52,   655,   (327 1),    (41 4),      1010001111, {5 131}
  52,   667,   (333 1),   (167 2),      1010011011, {23 29}
  52,  1287,   (643 1),   (161 3),     10100000111, {3 11 13}
  52,  1289,   (161 3),   (645 1),     10100001001, {1289}
  52,  1299,   (649 1),   (325 2),     10100010011, {3 433}
  52,  1309,   (327 2),   (655 1),     10100011101, {7 11 17}
  52,  1319,   (659 1),   (165 3),     10100100111, {1319}
  52,  1335,   (667 1),   (167 3),     10100110111, {3 5 89}
  52,  2561,     (5 9),  (1281 1),    101000000001, {13 197}
  52,  2567,  (1283 1),   (321 3),    101000000111, {17 151}
  52,  2575,  (1287 1),   (161 4),    101000001111, {5 103}
  52,  2579,  (1289 1),   (645 2),    101000010011, {2579}
  52,  2587,  (1293 1),   (647 2),    101000011011, {13 199}
  52,  2597,   (649 2),  (1299 1),    101000100101, {7 53}
  52,  2599,  (1299 1),   (325 3),    101000100111, {23 113}
  52,  2621,   (655 2),  (1311 1),    101000111101, {2621}
  52,  2639,  (1319 1),   (165 4),    101001001111, {7 13 29}
  52,  2651,  (1325 1),   (663 2),    101001011011, {11 241}
  52,  2669,   (667 2),  (1335 1),    101001101101, {17 157}
  52,  5123,  (2561 1),  (1281 2),   1010000000011, {47 109}
  52,  5127,  (2563 1),   (641 3),   1010000000111, {3 1709}
  52,  5129,   (641 3),  (2565 1),   1010000001001, {23 223}
  52,  5135,  (2567 1),   (321 4),   1010000001111, {5 13 79}
  52,  5149,  (1287 2),  (2575 1),   1010000011101, {19 271}
  52,  5153,   (161 5),  (2577 1),   1010000100001, {5153}
  52,  5157,  (1289 2),  (2579 1),   1010000100101, {3 191}
  52,  5159,  (2579 1),   (645 3),   1010000100111, {7 11 67}
  52,  5175,  (2587 1),   (647 3),   1010000110111, {3 5 23}
  52,  5197,  (1299 2),  (2599 1),   1010001001101, {5197}
  52,  5199,  (2599 1),   (325 4),   1010001001111, {3 1733}
  52,  5201,   (325 4),  (2601 1),   1010001010001, {7 743}
  52,  5217,   (163 5),  (2609 1),   1010001100001, {3 37 47}
  52,  5237,  (1309 2),  (2619 1),   1010001110101, {5237}
  52,  5273,   (659 3),  (2637 1),   1010010011001, {5273}
  52,  5277,  (1319 2),  (2639 1),   1010010011101, {3 1759}
  52,  5295,  (2647 1),   (331 4),   1010010101111, {3 5 353}
  52,  5303,  (2651 1),   (663 3),   1010010110111, {5303}
  52,  5307,  (2653 1),  (1327 2),   1010010111011, {3 29 61}
  52,  5341,  (1335 2),  (2671 1),   1010011011101, {7 109}
  52,  5385,   (673 3),  (2693 1),   1010100001001, {3 5 359}
  52,  5387,  (2693 1),  (1347 2),   1010100001011, {5387}
  52,  9919,  (4959 1),   (155 6),  10011010111111, {7 13 109}
  53,   859,   (429 1),   (215 2),      1101011011, {859}
  53,   865,    (27 5),   (433 1),      1101100001, {5 173}
  53,   873,   (109 3),   (437 1),      1101101001, {3 97}
  53,   879,   (439 1),    (55 4),      1101101111, {3 293}
  53,   889,   (111 3),   (445 1),      1101111001, {7 127}
  53,  1707,   (853 1),   (427 2),     11010101011, {3 569}
  53,  1711,   (855 1),   (107 4),     11010101111, {29 59}
  53,  1719,   (859 1),   (215 3),     11010110111, {3 191}
  53,  1731,   (865 1),   (433 2),     11011000011, {3 577}
  53,  1745,   (109 4),   (873 1),     11011010001, {5 349}
  53,  1747,   (873 1),   (437 2),     11011010011, {1747}
  53,  1759,   (879 1),    (55 5),     11011011111, {1759}
  53,  1767,   (883 1),   (221 3),     11011100111, {3 19 31}
  53,  1779,   (889 1),   (445 2),     11011110011, {3 593}
  53,  3415,  (1707 1),   (427 3),    110101010111, {5 683}
  53,  3419,  (1709 1),   (855 2),    110101011011, {13 263}
  53,  3423,  (1711 1),   (107 5),    110101011111, {3 7 163}
  53,  3433,   (429 3),  (1717 1),    110101101001, {3433}
  53,  3435,  (1717 1),   (859 2),    110101101011, {3 5 229}
  53,  3437,   (859 2),  (1719 1),    110101101101, {7 491}
  53,  3439,  (1719 1),   (215 4),    110101101111, {19 181}
  53,  3449,   (431 3),  (1725 1),    110101111001, {3449}
  53,  3461,   (865 2),  (1731 1),    110110000101, {3461}
  53,  3465,   (433 3),  (1733 1),    110110001001, {3 5 7 11}
  53,  3467,  (1733 1),   (867 2),    110110001011, {3467}
  53,  3491,  (1745 1),   (873 2),    110110100011, {3491}
  53,  3493,   (873 2),  (1747 1),    110110100101, {7 499}
  53,  3515,  (1757 1),   (879 2),    110110111011, {5 19 37}
  53,  3517,   (879 2),  (1759 1),    110110111101, {3517}
  53,  3535,  (1767 1),   (221 4),    110111001111, {5 7 101}
  53,  3557,   (889 2),  (1779 1),    110111100101, {3557}
  53,  3591,  (1795 1),   (449 3),    111000000111, {3 7 19}
  53,  6767,  (3383 1),   (423 4),   1101001101111, {67 101}
  53,  6829,  (1707 2),  (3415 1),   1101010101101, {6829}
  53,  6839,  (3419 1),   (855 3),   1101010110111, {7 977}
  53,  6845,  (1711 2),  (3423 1),   1101010111101, {5 37}
  53,  6865,   (429 4),  (3433 1),   1101011010001, {5 1373}
  53,  6867,  (3433 1),  (1717 2),   1101011010011, {3 7 109}
  53,  6871,  (3435 1),   (859 3),   1101011010111, {6871}
  53,  6877,  (1719 2),  (3439 1),   1101011011101, {13 23}
